effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,model,layer_idx,bootstrap,seed,n_items,frames_per_item
51.419902592236916,23.52007415510006,4.662283195342893,0.9352893447016646,eat_all,1,21,21043,600,50
50.944972832001504,23.22598396396572,4.1608833685095235,0.9491455953966643,eat_all,1,22,22043,600,50
51.335778129017704,23.25942834539756,3.4645614368273026,0.8942554762598304,eat_all,1,23,23043,600,50
50.50759927990629,23.132173977182067,4.688305499824942,0.9496842066728789,eat_all,1,24,24043,600,50
50.890090183940934,23.28730105225587,3.576381366039036,0.9432704943401129,eat_all,1,25,25043,600,50
50.75943972973505,22.996091765988005,4.010330288224263,0.9409324275271203,eat_all,1,26,26043,600,50
51.084147241089006,23.231660735178085,3.9535374164889907,0.9381045347769703,eat_all,1,27,27043,600,50
50.48276169946088,23.024812161168203,4.556303803011083,0.9336544808717889,eat_all,1,28,28043,600,50
50.16937561627207,22.928816702842436,4.616013950866619,0.9420441362744846,eat_all,1,29,29043,600,50
51.380079506632924,23.411247461677213,3.7676049909168574,0.967422900630206,eat_all,1,30,30043,600,50
50.58985639367062,23.15534130333172,3.586700631387058,0.9037874949931048,eat_all,1,31,31043,600,50
50.5004816899576,23.03368046398777,4.925293530633832,0.9377642100773548,eat_all,1,32,32043,600,50
51.170425328174815,23.282988767204575,4.302982326346697,0.9391309844446631,eat_all,1,33,33043,600,50
50.73313831211638,23.252879135012616,3.8832524154926515,0.9467723453623496,eat_all,1,34,34043,600,50
50.61571842316954,23.208915558020227,4.510530386696876,0.9524869449320974,eat_all,1,35,35043,600,50
50.825213672841805,23.23899245221198,4.685295893710267,0.9496206624927952,eat_all,1,36,36043,600,50
50.66946278030008,23.156512296860292,4.10493578574851,0.9557544772665547,eat_all,1,37,37043,600,50
50.28523538303592,22.955620203546403,4.84655378180545,0.9469637521044858,eat_all,1,38,38043,600,50
50.45716526880347,23.01413793300241,4.058849340188608,0.9499033755958323,eat_all,1,39,39043,600,50
50.52666515446325,23.0785569491125,4.0499834978249964,0.9379343904734544,eat_all,1,40,40043,600,50
51.541334296242965,23.516762064114356,3.743919588199246,0.8807082681484543,eat_all,1,41,41043,600,50
51.09163981636359,23.297285543460017,4.010436430509608,0.9478521253941133,eat_all,1,42,42043,600,50
50.91379902492734,23.337707845812314,4.582509685991932,0.950292796314564,eat_all,1,43,43043,600,50
50.15591071629522,23.00754815680403,4.336557528350676,0.9504046988547172,eat_all,1,44,44043,600,50
50.81430559028395,23.131455442103174,3.8303761886341325,0.9253120231952391,eat_all,1,45,45043,600,50
51.03660193004527,23.26279638218508,3.7986572876259355,0.943388118250108,eat_all,1,46,46043,600,50
51.34481317254322,23.537178481839234,4.803504490313384,0.9578643184669549,eat_all,1,47,47043,600,50
50.88851162242843,23.19215779511766,4.126051824420139,0.9346084334674314,eat_all,1,48,48043,600,50
50.536055554341104,23.156074226233226,4.193224240880107,0.9327690843115789,eat_all,1,49,49043,600,50
95.35340289569618,50.56307746472481,4.597150819349014,0.8218058668991703,eat_all,2,0,44,600,50
94.85565559059296,50.519408188497,5.082997563744044,0.8417368603037744,eat_all,2,1,1044,600,50
94.87554627544633,50.42913403677952,4.787526139063476,0.8257365451725469,eat_all,2,2,2044,600,50
94.45891076316667,50.087874886302885,5.161939394784221,0.8343176278486203,eat_all,2,3,3044,600,50
95.0173737982062,50.592190686682635,5.432158517308359,0.8168392984628443,eat_all,2,4,4044,600,50
94.96730479146993,50.574682605197,5.421070619329444,0.8407892093923653,eat_all,2,5,5044,600,50
95.67657894045362,51.05150995957491,5.161203517705791,0.8272750303124123,eat_all,2,6,6044,600,50
96.00164675625813,51.19392561212231,5.070888506810976,0.8320941580433114,eat_all,2,7,7044,600,50
94.19760144227126,50.188539170008944,5.294683863702776,0.8238831596708496,eat_all,2,8,8044,600,50
94.5034620910446,50.157205115779306,4.511183584001076,0.8157265189154168,eat_all,2,9,9044,600,50
95.31075581656619,50.90434665400995,5.258965996128223,0.8169900494500979,eat_all,2,10,10044,600,50
95.09962000536281,50.731665380470986,4.70924357934328,0.8084852966323,eat_all,2,11,11044,600,50
94.56809706077165,50.403578230847266,4.662204413260074,0.8425773136399861,eat_all,2,12,12044,600,50
94.76027826079394,50.3093592641043,5.287159943349055,0.8395688906299835,eat_all,2,13,13044,600,50
