model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_bio,7,Mammalia,Megaptera novaeangliae,8,37.56477146080126,3.099013263268756
eat_bio,7,Mammalia,Orcinus orca,18,36.49448104545411,3.215193799170958
eat_bio,7,Mammalia,Lagenorhynchus acutus,6,33.34518210881688,3.6338614887348273
eat_bio,7,Mammalia,Stenella coeruleoalba,5,33.45499477278534,3.55366756472947
eat_bio,8,Aves,Parus major,6,31.767078032530456,2.729649972223461
eat_bio,8,Aves,Fringilla coelebs,14,31.577015635437107,2.735193645656445
eat_bio,8,Aves,Erithacus rubecula,6,29.791499474866246,2.984297469387042
eat_bio,8,Aves,Turdus merula,10,30.85775018610064,2.824293304609448
eat_bio,8,Aves,Anthus trivialis,5,31.4323199320329,2.783017150977978
eat_bio,8,Mammalia,Globicephala macrorhynchus,7,28.915024614654488,3.079427396289841
eat_bio,8,Mammalia,Delphinus delphis,8,28.461918735965313,3.259731158579376
eat_bio,8,Mammalia,Balaenoptera physalus,8,28.096192048770508,3.5214215476613755
eat_bio,8,Mammalia,Megaptera novaeangliae,8,31.17909613800527,2.8280319381243695
eat_bio,8,Mammalia,Orcinus orca,18,29.55475124938814,3.050559027316874
eat_bio,8,Mammalia,Lagenorhynchus acutus,6,27.148905086388318,3.321332316734528
eat_bio,8,Mammalia,Stenella coeruleoalba,5,27.751930851436573,3.266047815141559
eat_bio,9,Aves,Parus major,6,22.86140140409135,2.320124842255736
eat_bio,9,Aves,Fringilla coelebs,14,22.875888356036146,2.2679115736245783
eat_bio,9,Aves,Erithacus rubecula,6,21.74061991782662,2.413498209712218
eat_bio,9,Aves,Turdus merula,10,22.408465431205798,2.33239365739667
eat_bio,9,Aves,Anthus trivialis,5,22.713979850291143,2.446656222515325
eat_bio,9,Mammalia,Globicephala macrorhynchus,7,20.672443812069698,2.736522388919292
eat_bio,9,Mammalia,Delphinus delphis,8,20.949998205810992,2.7450570966020966
eat_bio,9,Mammalia,Balaenoptera physalus,8,20.152610945530736,3.0117586313221025
eat_bio,9,Mammalia,Megaptera novaeangliae,8,22.57202143246729,2.4405258628566084
eat_bio,9,Mammalia,Orcinus orca,18,21.301532815886947,2.660388926824672
eat_bio,9,Mammalia,Lagenorhynchus acutus,6,19.39883122622121,2.95605074237858
eat_bio,9,Mammalia,Stenella coeruleoalba,5,20.425516242280572,2.773175093783752
eat_bio,10,Aves,Parus major,6,17.668229781017285,1.8429185188788881
eat_bio,10,Aves,Fringilla coelebs,14,17.737794086807522,1.8022532450190816
eat_bio,10,Aves,Erithacus rubecula,6,16.875774303745068,1.8801499079096355
eat_bio,10,Aves,Turdus merula,10,17.367961482862885,1.8543546655311622
eat_bio,10,Aves,Anthus trivialis,5,17.582826540147753,1.9897984375757523
eat_bio,10,Mammalia,Globicephala macrorhynchus,7,15.385384743942547,2.4368888445192067
eat_bio,10,Mammalia,Delphinus delphis,8,15.664066963164876,2.3972924688250647
eat_bio,10,Mammalia,Balaenoptera physalus,8,15.535312806092778,2.555032073058025
eat_bio,10,Mammalia,Megaptera novaeangliae,8,17.25792256937607,2.0940671419478294
eat_bio,10,Mammalia,Orcinus orca,18,15.837189181463897,2.3941668982145927
eat_bio,10,Mammalia,Lagenorhynchus acutus,6,14.076463084876396,2.7086083566857644
eat_bio,10,Mammalia,Stenella coeruleoalba,5,14.710346772188208,2.54646413788368
eat_bio,11,Aves,Parus major,6,16.88651577121588,2.15701058442484
eat_bio,11,Aves,Fringilla coelebs,14,17.12668899578352,2.055331305585325
eat_bio,11,Aves,Erithacus rubecula,6,16.38667912207531,2.2537515302348776
eat_bio,11,Aves,Turdus merula,10,16.840354003018284,2.1028335658952306
eat_bio,11,Aves,Anthus trivialis,5,17.019780586342222,2.184902046324567
eat_bio,11,Mammalia,Globicephala macrorhynchus,7,15.016231666651363,2.530875898414031
eat_bio,11,Mammalia,Delphinus delphis,8,15.10193225836992,2.537089552502773
eat_bio,11,Mammalia,Balaenoptera physalus,8,14.876225379200248,2.6074541484422182
eat_bio,11,Mammalia,Megaptera novaeangliae,8,16.665863666836092,2.2124313260708215
eat_bio,11,Mammalia,Orcinus orca,18,15.201419101438395,2.494995274415609
eat_bio,11,Mammalia,Lagenorhynchus acutus,6,13.981629507008856,2.748806177677499
eat_bio,11,Mammalia,Stenella coeruleoalba,5,14.476740044830745,2.6448491397626053
eat_bio,12,Aves,Parus major,6,12.376013191120082,3.620398332222865
eat_bio,12,Aves,Fringilla coelebs,14,13.47968287422312,3.721445067637834
eat_bio,12,Aves,Erithacus rubecula,6,11.510554205830523,3.4968573632510167
eat_bio,12,Aves,Turdus merula,10,11.993167875831746,3.643671068721921
eat_bio,12,Aves,Anthus trivialis,5,14.649199233138079,4.000628383248612
eat_bio,12,Mammalia,Globicephala macrorhynchus,7,11.111574802935648,3.8937189986539393
eat_bio,12,Mammalia,Delphinus delphis,8,11.313822532795388,4.0239741553555985
eat_bio,12,Mammalia,Balaenoptera physalus,8,12.41050502375912,3.899183210132646
eat_bio,12,Mammalia,Megaptera novaeangliae,8,14.139967482340548,4.21512269749717
