model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
sl_eat_bio_ssl_all,10,Aves,5,2.5168344258389603,26.229685278542103,0.08755266556512531
sl_eat_bio_ssl_all,10,Mammalia,7,5.891074268746195,24.755664529308714,0.19222515999386175
sl_eat_bio_ssl_all,11,Aves,5,1.661984056382647,25.96976301296666,0.060147628458361704
sl_eat_bio_ssl_all,11,Mammalia,7,4.421797696869226,23.504458954722946,0.15833836063442194
sl_eat_bio_ssl_all,12,Aves,5,11.499714544221202,173.5876948600033,0.06213126317580157
sl_eat_bio_ssl_all,12,Mammalia,7,50.89303596517357,222.0164691285369,0.18648319320244322
random_init_eat_seed42,0,Aves,5,6.407386145400812,641.8791893257343,0.009883570611876879
random_init_eat_seed42,0,Mammalia,7,93.56144098279489,618.8057095866895,0.1313387919529971
random_init_eat_seed42,1,Aves,5,9.500781273285918,630.3696887521312,0.014847975830027794
random_init_eat_seed42,1,Mammalia,7,86.63625192186477,580.8150629696195,0.12980160498440294
random_init_eat_seed42,2,Aves,5,9.255194411222789,621.3986624529332,0.014675553491804579
random_init_eat_seed42,2,Mammalia,7,82.76036295863837,548.1456349533199,0.13117701088996053
random_init_eat_seed42,3,Aves,5,13.664535281089929,598.4048097837151,0.022325142389941367
random_init_eat_seed42,3,Mammalia,7,80.37284332610056,511.63544484549084,0.135763037328972
random_init_eat_seed42,4,Aves,5,13.772275626405147,595.7800288790529,0.0225940834356764
random_init_eat_seed42,4,Mammalia,7,76.08924130748892,475.81661408229587,0.13786634181250118
random_init_eat_seed42,5,Aves,5,10.63659395574572,579.6549227401223,0.018019222121441976
random_init_eat_seed42,5,Mammalia,7,70.33010143229248,446.34508266568446,0.1361205329709735
random_init_eat_seed42,6,Aves,5,14.301701605282926,562.211917630217,0.024807222462928193
random_init_eat_seed42,6,Mammalia,7,63.67639285540889,422.2374365100295,0.13104461945148746
random_init_eat_seed42,7,Aves,5,16.72952711892646,557.4325738393813,0.029137289087879478
random_init_eat_seed42,7,Mammalia,7,64.92640958663085,388.1172550931673,0.14331159366839286
random_init_eat_seed42,8,Aves,5,13.4587424382038,534.3839097410155,0.024566802866968006
random_init_eat_seed42,8,Mammalia,7,60.623534463247154,358.44259375973513,0.14466340842271502
random_init_eat_seed42,9,Aves,5,15.49709995006513,532.688640154387,0.028269797654919458
random_init_eat_seed42,9,Mammalia,7,55.377630365071006,337.4525499204772,0.14097091604524126
random_init_eat_seed42,10,Aves,5,17.30764605683134,513.4148110368708,0.03261148237745586
random_init_eat_seed42,10,Mammalia,7,50.91051244282884,315.9226952812642,0.1387838161072927
random_init_eat_seed42,11,Aves,5,19.690349402695027,496.49493953574256,0.03814589416755614
random_init_eat_seed42,11,Mammalia,7,47.908948249445,288.92257635899153,0.14223415787800353
