model,layer_idx,level,group,n_clips,effective_rank,participation_ratio,mle_id_k20,n_frames
eat_all,5,order,Passeriformes,100,163.62076119261965,72.28761743431282,12.70364891160947,5000
eat_all,5,order,other-Aves,300,173.98104543909042,75.86741773418915,14.31970437823917,15000
eat_all,6,class,Aves,400,217.87873844941814,91.11921536377413,14.998760065041868,20000
eat_all,6,class,Mammalia,200,185.14426212702526,79.65324029237118,2.4126523186770186,10000
eat_all,6,order,Passeriformes,100,198.805585797096,83.96045995554991,11.228314874822416,5000
eat_all,6,order,other-Aves,300,214.0365404175245,90.03406393949358,13.290457672105893,15000
eat_all,7,class,Aves,400,236.3446513551734,97.51207223763944,14.904580906253804,20000
eat_all,7,class,Mammalia,200,192.9573534251719,82.13450721414857,2.4049665211377373,10000
eat_all,7,order,Passeriformes,100,212.55959118950457,89.18461419652276,10.97841455191787,5000
eat_all,7,order,other-Aves,300,232.3435513208297,96.5733907000205,13.061952608954588,15000
eat_all,8,class,Aves,400,172.1763878322955,66.06120829198785,14.664927980689049,20000
eat_all,8,class,Mammalia,200,155.01244861186646,64.45339067104436,2.527514342075552,10000
eat_all,8,order,Passeriformes,100,157.79094443661504,61.89524866644458,11.578173005608127,5000
eat_all,8,order,other-Aves,300,169.7316001519439,65.59294370548197,13.16585155685807,15000
eat_all,9,class,Aves,400,179.64665150241768,71.36945811730146,11.923824755327495,20000
eat_all,9,class,Mammalia,200,146.57910295231434,60.48940571760827,2.3037803809089312,10000
eat_all,9,order,Passeriformes,100,161.05131473347132,65.23215768281447,8.720671887867281,5000
eat_all,9,order,other-Aves,300,176.92487947650932,70.95847609292473,10.738799603099103,15000
eat_all,10,class,Aves,400,175.6131713082139,71.28417208219192,11.697735760146102,20000
eat_all,10,class,Mammalia,200,138.07963791968484,55.876322805885394,2.2358802265500537,10000
eat_all,10,order,Passeriformes,100,155.65903656463362,63.89414001048174,8.581106293738321,5000
eat_all,10,order,other-Aves,300,173.50015190444947,71.12927249281375,10.438422475335559,15000
eat_all,11,class,Aves,400,226.3615211867047,83.68482434226337,12.731922707412295,20000
eat_all,11,class,Mammalia,200,157.3277138560347,58.66338026147124,2.3213469699305183,10000
eat_all,11,order,Passeriformes,100,201.74503212690956,75.39831727601845,9.62888408078126,5000
eat_all,11,order,other-Aves,300,223.3687882879569,83.38568504468117,11.410693629097398,15000
eat_all,12,class,Aves,400,66.38645924623782,11.495259132904083,17.565760765013938,20000
eat_all,12,class,Mammalia,200,45.39528637717831,9.121014011172798,2.6606171894314112,10000
eat_all,12,order,Passeriformes,100,61.98122358018203,11.451471151947004,13.957133782378959,5000
eat_all,12,order,other-Aves,300,65.70460112032447,11.464915819672688,15.881634202204017,15000
eat_bio,0,class,Aves,400,25.40102419914437,9.284865854194774,14.565510130634108,20000
eat_bio,0,class,Mammalia,200,25.500433402434158,9.880839260063272,3.0429216051870616,10000
eat_bio,0,order,Passeriformes,100,25.348770223291705,9.281641709527676,8.989333410739802,5000
eat_bio,0,order,other-Aves,300,25.358448391686043,9.257664025052344,14.852944326174967,15000
eat_bio,1,class,Aves,400,70.31177271821376,37.31191381292275,14.319003332459415,20000
eat_bio,1,class,Mammalia,200,62.768489123115124,31.287561426305118,2.9375844605867187,10000
eat_bio,1,order,Passeriformes,100,69.85132958472555,37.09705379775673,13.60002039438808,5000
eat_bio,1,order,other-Aves,300,69.97383019731758,37.05669196531218,13.782516377142288,15000
eat_bio,2,class,Aves,400,52.49517704359808,31.438456918869836,7.868632043365784,20000
eat_bio,2,class,Mammalia,200,48.343159154919185,24.835993609186783,2.4980582207266444,10000
eat_bio,2,order,Passeriformes,100,52.596490151028,31.726442379352637,8.4227933685602,5000
eat_bio,2,order,other-Aves,300,52.123596753442385,31.186824096908214,7.757923014713824,15000
eat_bio,3,class,Aves,400,69.79165523553068,40.60185959072881,10.637052060906008,20000
eat_bio,3,class,Mammalia,200,64.85685547235845,32.8638539795788,2.6470059893638838,10000
eat_bio,3,order,Passeriformes,100,69.88572948823823,40.919977276870796,10.484132869121625,5000
eat_bio,3,order,other-Aves,300,69.09915266593778,40.171371406138945,10.483130036838103,15000
eat_bio,4,class,Aves,400,113.69315031899191,57.464884709110336,14.553122087866264,20000
eat_bio,4,class,Mammalia,200,106.29061022287955,51.70972424483425,2.781924643611386,10000
eat_bio,4,order,Passeriformes,100,111.48715939794131,56.85705459107757,13.37461881429994,5000
eat_bio,4,order,other-Aves,300,112.41045269412831,56.75918998781816,14.07851469755101,15000
eat_bio,5,class,Aves,400,128.28921899604742,60.16123408527927,14.545077245082183,20000
eat_bio,5,class,Mammalia,200,115.26043131271828,52.07317604766401,2.6024875204758278,10000
eat_bio,5,order,Passeriformes,100,123.23902374004858,58.65867384923579,13.05448753023566,5000
eat_bio,5,order,other-Aves,300,126.96350961837716,59.656521841300425,14.032589726350544,15000
eat_bio,6,class,Aves,400,184.60849945017222,75.30426838915959,16.603518354419197,20000
eat_bio,6,class,Mammalia,200,153.92846497204096,64.10725848418811,2.5207440524326086,10000
eat_bio,6,order,Passeriformes,100,176.65644726964916,72.89702378674858,13.413484515522788,5000
eat_bio,6,order,other-Aves,300,180.78611927963703,73.949069370527,15.138922820402566,15000
eat_bio,7,class,Aves,400,192.72496347948908,74.63167829648594,15.374814973644526,20000
eat_bio,7,class,Mammalia,200,159.17585938458632,64.40954533049738,2.519576180083454,10000
eat_bio,7,order,Passeriformes,100,180.0295377362066,71.01080069662154,12.160262555187167,5000
eat_bio,7,order,other-Aves,300,189.02912782390342,73.60654923051251,13.82397200340317,15000
eat_bio,8,class,Aves,400,160.83031060465012,62.49211125419384,12.43232113894918,20000
eat_bio,8,class,Mammalia,200,128.1254749184837,50.49696607556836,2.5303814826179227,10000
eat_bio,8,order,Passeriformes,100,148.26834603866,58.909081794798865,9.943636568606738,5000
eat_bio,8,order,other-Aves,300,158.396466100489,61.86601287517025,11.186537756456964,15000
eat_bio,9,class,Aves,400,164.1227011800742,67.44333937366804,11.109798457871142,20000
eat_bio,9,class,Mammalia,200,116.34927476004813,47.764944124081474,2.417251028807321,10000
eat_bio,9,order,Passeriformes,100,148.5922229253591,62.33521121160908,8.79470344418489,5000
eat_bio,9,order,other-Aves,300,161.89863430703957,66.81370220065969,10.343338270572882,15000
eat_bio,10,class,Aves,400,179.92174137851222,71.710624503494,11.369504301774898,20000
eat_bio,10,class,Mammalia,200,113.1779476699097,43.89226821568656,2.36957568130589,10000
eat_bio,10,order,Passeriformes,100,161.17121701481878,65.85722324526719,8.980944260206877,5000
eat_bio,10,order,other-Aves,300,177.58899185870416,71.06858290070812,10.436086054661185,15000
eat_bio,11,class,Aves,400,196.80151599000018,65.70806073978646,12.241041553241663,20000
eat_bio,11,class,Mammalia,200,122.53622090557687,43.28307457611183,2.457117736310105,10000
eat_bio,11,order,Passeriformes,100,179.35853692118044,61.478132047803285,10.071768550209233,5000
eat_bio,11,order,other-Aves,300,193.761824750238,65.01132733769164,11.29523291565563,15000
eat_bio,12,class,Aves,400,206.92970409077947,35.46663106068489,17.865560722275895,20000
eat_bio,12,class,Mammalia,200,123.39353908079191,25.817879643878463,2.641458180937244,10000
eat_bio,12,order,Passeriformes,100,186.82493396053428,34.8685508022371,14.718625740760412,5000
eat_bio,12,order,other-Aves,300,203.91992633523694,35.296966083029304,16.053074110855583,15000
sl_eat_all_ssl_all,0,class,Aves,400,43.27737918469699,18.52517400793631,13.13744237511524,20000
sl_eat_all_ssl_all,0,class,Mammalia,200,42.2627147276087,19.30500623103464,2.948056950477855,10000
sl_eat_all_ssl_all,0,order,Passeriformes,100,42.08132672983278,17.659966287110805,8.76122190933989,5000
sl_eat_all_ssl_all,0,order,other-Aves,300,43.56497047230324,18.803379336077697,13.269393413432091,15000
sl_eat_all_ssl_all,1,class,Aves,400,68.02113160506445,39.47916175307886,12.906416202634441,20000
sl_eat_all_ssl_all,1,class,Mammalia,200,64.12098374616892,33.90728026492791,2.8602490643536447,10000
sl_eat_all_ssl_all,1,order,Passeriformes,100,67.22740378868552,38.714060689936616,13.316834307203255,5000
sl_eat_all_ssl_all,1,order,other-Aves,300,67.8965153337055,39.49966527711875,12.355952552758563,15000
sl_eat_all_ssl_all,2,class,Aves,400,80.99818881394766,46.73717415379976,15.20131157323093,20000
sl_eat_all_ssl_all,2,class,Mammalia,200,75.9085751124666,40.595764950250114,2.730588829882634,10000
sl_eat_all_ssl_all,2,order,Passeriformes,100,79.79224574114262,46.08519048827292,15.370462862819572,5000
sl_eat_all_ssl_all,2,order,other-Aves,300,80.75276064983981,46.58912738777125,15.007364590247535,15000
sl_eat_all_ssl_all,3,class,Aves,400,104.86136522790994,61.04710183136575,17.447549441102414,20000
