model,layer_idx,level,group_a,group_b,k,mean_cos_principal_angles
random_init_eat_seed42,7,order,Passeriformes,other-Aves,10,0.9845827796303916
random_init_eat_seed42,8,class,Aves,Mammalia,10,0.8855905895203217
random_init_eat_seed42,8,order,Passeriformes,other-Aves,10,0.9892180262049439
random_init_eat_seed42,9,class,Aves,Mammalia,10,0.9119012387505961
random_init_eat_seed42,9,order,Passeriformes,other-Aves,10,0.9874303212365481
random_init_eat_seed42,10,class,Aves,Mammalia,10,0.9299616665615773
random_init_eat_seed42,10,order,Passeriformes,other-Aves,10,0.9811661990340163
random_init_eat_seed42,11,class,Aves,Mammalia,10,0.9264714698057646
random_init_eat_seed42,11,order,Passeriformes,other-Aves,10,0.9737154720516162
random_init_eat_seed42,12,class,Aves,Mammalia,10,0.9183134022096624
random_init_eat_seed42,12,order,Passeriformes,other-Aves,10,0.9480904534475478
