model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
eat_bio,3,Aves,13,0.29726351865941014,21.84176857112681,0.013427123527977172
eat_bio,3,Mammalia,15,0.7925692806219833,20.53758699966661,0.037157218644216145
eat_bio,4,Aves,13,0.44216233621870615,26.49966407903029,0.016411743190819592
eat_bio,4,Mammalia,15,1.349109046907671,24.732976978397403,0.051725504071980795
eat_bio,5,Aves,13,0.7308213665882105,35.11312168442251,0.020388978008032042
eat_bio,5,Mammalia,15,1.9851272321550844,32.98353823772867,0.05676874440246356
eat_bio,6,Aves,13,0.7918165530740006,31.650995334692276,0.024406532818833232
eat_bio,6,Mammalia,15,2.007446748359091,30.45355310406984,0.06184180270124617
eat_bio,7,Aves,13,1.0289809725195225,37.315023226979825,0.02683551167911039
eat_bio,7,Mammalia,15,2.72809431859495,35.26726335300989,0.07180072739869858
eat_bio,8,Aves,13,0.7135290226603838,30.93645286295845,0.02254437380846016
eat_bio,8,Mammalia,15,2.0526443226555555,29.116955726620724,0.06585404751458193
eat_bio,9,Aves,13,0.5013310962083043,22.419011465375505,0.02187275756727006
eat_bio,9,Mammalia,15,1.4699667123105982,21.06141231896918,0.06524086742626266
eat_bio,10,Aves,13,0.3966312339377642,17.43724214580374,0.022240330268819775
eat_bio,10,Mammalia,15,1.205667038785426,15.756829344942842,0.07107839621660846
eat_bio,11,Aves,13,0.3021819515889875,16.952390558054663,0.01751315203086583
eat_bio,11,Mammalia,15,1.0145618113467658,15.340171585197984,0.06203475084229202
eat_bio,12,Aves,13,0.20066527066689427,12.429045401187407,0.01588835056325423
eat_bio,12,Mammalia,15,0.5759166487593821,11.8616637452553,0.046304556876394516
sl_eat_all_ssl_all,0,Aves,13,0.014501873514547766,0.9527976839393517,0.014992122556862547
sl_eat_all_ssl_all,0,Mammalia,15,0.05531729212736626,1.0136078500018462,0.051750389196738966
sl_eat_all_ssl_all,1,Aves,13,0.2637489033671133,27.754893380453076,0.009413336331411724
sl_eat_all_ssl_all,1,Mammalia,15,0.7843170660991293,26.617037973623052,0.028623294905020195
sl_eat_all_ssl_all,2,Aves,13,0.3905069827618512,33.23664151210391,0.011612848553646301
sl_eat_all_ssl_all,2,Mammalia,15,1.0916554039244741,31.98304948639983,0.033005748881037716
sl_eat_all_ssl_all,3,Aves,13,0.48350069654115685,32.26572891910841,0.014763727336966452
sl_eat_all_ssl_all,3,Mammalia,15,1.3368635602692676,30.347543516340483,0.04219310643992372
sl_eat_all_ssl_all,4,Aves,13,1.2157177805303692,63.87900946710432,0.018676132951683026
sl_eat_all_ssl_all,4,Mammalia,15,3.303388684984484,57.81221307716192,0.05405147932341111
sl_eat_all_ssl_all,5,Aves,13,1.5673276697298053,66.67892393298634,0.02296576929753937
sl_eat_all_ssl_all,5,Mammalia,15,3.9194899415501263,58.011764020697555,0.0632877536104692
sl_eat_all_ssl_all,6,Aves,13,1.598167762586506,58.353002555892246,0.026657824260920268
sl_eat_all_ssl_all,6,Mammalia,15,4.071403303916447,51.395826058517876,0.07340195915164713
sl_eat_all_ssl_all,7,Aves,13,2.3305851556444157,65.67463558130213,0.03427067996234343
sl_eat_all_ssl_all,7,Mammalia,15,5.640579216920158,58.280927545639955,0.08824227560643078
sl_eat_all_ssl_all,8,Aves,13,1.8482590232373066,63.948449753602105,0.028090447950914803
sl_eat_all_ssl_all,8,Mammalia,15,4.522325093704544,57.926898425880125,0.07241603400058769
sl_eat_all_ssl_all,9,Aves,13,1.1555829845128622,38.91308576555687,0.028840064333578618
sl_eat_all_ssl_all,9,Mammalia,15,3.288641434073084,35.976216606953244,0.08375533742250921
sl_eat_all_ssl_all,10,Aves,13,0.6128625239692239,23.013235797933586,0.02594006490699582
sl_eat_all_ssl_all,10,Mammalia,15,1.8440783257675306,22.01441877766576,0.07729230880607998
sl_eat_all_ssl_all,11,Aves,13,0.21924488905579662,10.99163609058643,0.01955643713049154
sl_eat_all_ssl_all,11,Mammalia,15,0.7994682427256271,8.983465278653082,0.08172070687984784
sl_eat_all_ssl_all,12,Aves,13,2.416274132673858,124.42924518564034,0.019048951398987192
sl_eat_all_ssl_all,12,Mammalia,15,8.852629113244166,108.44961473607765,0.07546854026608076
sl_eat_bio_ssl_all,0,Aves,13,0.005477535920863483,0.37320738974249973,0.014464626262236824
sl_eat_bio_ssl_all,0,Mammalia,15,0.020704024382158705,0.377206251047343,0.05203189176205847
sl_eat_bio_ssl_all,1,Aves,13,0.20812293339650828,25.427612523852638,0.008118469382069407
sl_eat_bio_ssl_all,1,Mammalia,15,0.6507644718203873,23.611367646287142,0.026822229334688315
sl_eat_bio_ssl_all,2,Aves,13,0.3842925210692098,30.0792345027171,0.01261484006002159
sl_eat_bio_ssl_all,2,Mammalia,15,1.0529953563330723,28.993592618422614,0.03504542203653107
sl_eat_bio_ssl_all,3,Aves,13,0.5310391143021328,31.631546214272188,0.01651108295172838
