model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,4,Mammalia,Eubalaena glacialis,7,48.30831816396967,3.0429733040176132
eat_all,4,Mammalia,Lagenorhynchus acutus,7,43.53985801976369,3.444744623542612
eat_all,4,Mammalia,Megaptera novaeangliae,10,49.35716101841949,2.8802844467481528
eat_all,4,Mammalia,Globicephala macrorhynchus,9,45.237952471643496,3.2081370187144196
eat_all,4,Mammalia,Canis latrans,6,48.77783323086147,3.0800459773052133
eat_all,4,Mammalia,Physeter catodon,8,40.47534345735434,3.713794393673627
eat_all,4,Mammalia,Balaenoptera physalus,12,45.96160324200375,3.613675044046309
eat_all,4,Mammalia,Erignathus barbatus,7,48.2444360071991,3.1320467055618217
eat_all,5,Aves,Colaptes auratus,6,58.770742877988425,3.122108026807748
eat_all,5,Aves,Picus viridis,5,58.9681805645003,3.028149372006283
eat_all,5,Aves,Dendrocopos major,11,58.59638076440925,3.1167065577531585
eat_all,5,Aves,Sterna paradisaea,5,60.87819941549233,2.838666853395291
eat_all,5,Aves,Dryobates pubescens,5,58.53377982714405,3.1000405713601658
eat_all,5,Aves,Athene noctua,7,59.13103470835299,3.091246425249664
eat_all,5,Aves,Strix uralensis,5,49.21870693323853,4.388596059275937
eat_all,5,Aves,Calidris alpina,5,58.68176080053085,3.0980916562948715
eat_all,5,Aves,Aegolius funereus,5,57.49231224429657,3.2805172623063314
eat_all,5,Aves,Strix aluco,7,58.68807563833389,3.1139336642011677
eat_all,5,Aves,Tyto alba,5,57.78943436847377,3.273982920874911
eat_all,5,Aves,Bubo virginianus,5,56.500315401028566,3.440674187423301
eat_all,5,Aves,Strix varia,6,58.472644323552366,3.1435501931101406
eat_all,5,Mammalia,Delphinus delphis,9,55.695424406858564,3.441158831990019
eat_all,5,Mammalia,Globicephala melaena,8,51.38954390505943,3.9376123147829887
eat_all,5,Mammalia,Stenella attenuata,6,54.8833624671186,3.569923787867814
eat_all,5,Mammalia,Sciurus carolinensis,7,56.99882576782564,3.3862928895725166
eat_all,5,Mammalia,Stenella coeruleoalba,5,52.58754340165756,3.829275790066748
eat_all,5,Mammalia,Orcinus orca,28,56.826706339762836,3.2487157989009185
eat_all,5,Mammalia,Pseudorca crassidens,8,53.52087324617845,3.6937495046225615
eat_all,5,Mammalia,Eubalaena glacialis,7,56.33672750268838,3.3556875001546893
eat_all,5,Mammalia,Lagenorhynchus acutus,7,52.45762657932975,3.7950600144052014
eat_all,5,Mammalia,Megaptera novaeangliae,10,57.045958462392996,3.193979431694613
eat_all,5,Mammalia,Globicephala macrorhynchus,9,54.56490333165815,3.4807141813591738
eat_all,5,Mammalia,Canis latrans,6,58.29242784907555,3.259844038119259
eat_all,5,Mammalia,Physeter catodon,8,49.15916266231999,4.129205734449084
eat_all,5,Mammalia,Balaenoptera physalus,12,50.52912306428595,4.23419770938258
eat_all,5,Mammalia,Erignathus barbatus,7,56.66112715074747,3.3146102208234196
eat_all,6,Aves,Colaptes auratus,6,49.64445594517625,3.33646243051376
eat_all,6,Aves,Picus viridis,5,49.28394179734238,3.3390005704829147
eat_all,6,Aves,Dendrocopos major,11,49.933571349874256,3.2641738498290915
eat_all,6,Aves,Sterna paradisaea,5,51.3204356705487,3.0768220865717444
eat_all,6,Aves,Dryobates pubescens,5,49.62250119026416,3.262326562981044
eat_all,6,Aves,Athene noctua,7,49.51760979432199,3.3511403589355715
eat_all,6,Aves,Strix uralensis,5,41.7446539500468,4.395731108529707
eat_all,6,Aves,Calidris alpina,5,48.98879727042808,3.3969884008233433
eat_all,6,Aves,Aegolius funereus,5,47.471910941392295,3.620067711520969
eat_all,6,Aves,Strix aluco,7,49.02236749049187,3.416452133057769
eat_all,6,Aves,Tyto alba,5,48.071429739882646,3.573929744805237
eat_all,6,Aves,Bubo virginianus,5,47.51957679858485,3.638647516061623
eat_all,6,Aves,Strix varia,6,49.02957150069577,3.4441257632751805
eat_all,6,Mammalia,Delphinus delphis,9,46.856662705043505,3.6538799289230615
