model,layer_idx,bootstrap,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
eat_bio,12,16,0.15996087566297185,0.3383284452520152,0.2890242300555026,0.9370237204466989
eat_bio,12,17,0.1608554462566046,0.26200330547902934,0.20129550771498758,0.9506403159501038
eat_bio,12,18,0.16123309292890664,0.010407537292697729,-0.006653784952555385,1.311101491552422
eat_bio,12,19,0.15994875325638633,0.28746415461831276,0.1985734640184312,0.9893165302701089
eat_bio,12,20,0.16123296537187198,0.11717575694197147,0.08207072643043894,1.1403131937703317
eat_bio,12,21,0.16160954079903755,0.20953665500734786,0.16392119271562347,1.175598602177066
eat_bio,12,22,0.16015425655916626,0.17347405818925257,0.13324994897969322,1.1071276813918671
eat_bio,12,23,0.16099916298535516,0.32676238408304903,0.26393752916846625,0.903698400745273
eat_bio,12,24,0.16187632565262958,0.28257995435516386,0.24722745797399784,1.0605013471441878
eat_bio,12,25,0.1611264209021812,0.0736174998784567,-0.05712992241219561,1.1639950121370983
eat_bio,12,26,0.16054336962868715,0.1910608840595968,0.13927009360686599,1.1047618928065341
eat_bio,12,27,0.16009439333044156,0.18036861204760551,0.13653053083772734,1.0452521344921821
eat_bio,12,28,0.16375603187177343,0.3007397000769366,0.24043851105260122,1.0234263090842688
eat_bio,12,29,0.16007911694395854,0.4491366959219575,0.37251158481262675,0.9633085477851374
sl_eat_all_ssl_all,12,0,0.6224811492570418,0.7776855548661041,-0.5775692591542363,0.8554478839796381
sl_eat_all_ssl_all,12,1,0.6202003382760193,0.7038022669588623,-0.5123117008045551,0.8849390017291051
sl_eat_all_ssl_all,12,2,0.6146318765957323,0.685710082350512,0.4481706481501487,0.8290603020667843
sl_eat_all_ssl_all,12,3,0.6208758981711029,0.7016195334875325,0.41429993452531944,0.7488234979648569
sl_eat_all_ssl_all,12,4,0.617206335470806,0.7570105411857966,0.584008734717183,0.8761409025765818
sl_eat_all_ssl_all,12,5,0.6269515034443546,0.748609414963999,0.5514971761676976,0.8632332978464045
sl_eat_all_ssl_all,12,6,0.6238309648579645,0.7481485716070322,-0.5682672430414085,0.8766025474953542
sl_eat_all_ssl_all,12,7,0.6295219000540145,0.7308028204877379,-0.5189881386381031,0.8325408100043933
sl_eat_all_ssl_all,12,8,0.6216220895463173,0.7496372106952308,-0.5726959891355099,0.8888487361203532
sl_eat_all_ssl_all,12,9,0.6278070330547427,0.7745610375872938,-0.6686465722015491,0.9495812801502982
sl_eat_all_ssl_all,12,10,0.6195597105564364,0.6956648651212589,-0.482429542725373,0.8447432748970126
sl_eat_all_ssl_all,12,11,0.62127846852509,0.6917818628755386,0.4732768364391627,0.8556062349113164
sl_eat_all_ssl_all,12,12,0.6225690695143457,0.8027605907172949,0.6718087927203054,0.9389189081872718
sl_eat_all_ssl_all,12,13,0.6188089492195735,0.6643387534323418,-0.41986666742227285,0.8152654963565852
sl_eat_all_ssl_all,12,14,0.6193245962003879,0.6950535649899665,-0.4329033347345195,0.794502492917198
sl_eat_all_ssl_all,12,15,0.6200479834967391,0.6958701505176024,0.45035714290789225,0.7903471744019915
sl_eat_all_ssl_all,12,16,0.6254427671510742,0.7867737371844148,0.685232384116408,0.9563155253998886
sl_eat_all_ssl_all,12,17,0.6239571434215428,0.7184473868220005,0.4846949088701543,0.7963762180793704
sl_eat_all_ssl_all,12,18,0.6270543489959792,0.7060408760590058,-0.44871127921866255,0.7876620296989577
sl_eat_all_ssl_all,12,19,0.621715432256697,0.7235175557581106,-0.4884072990560202,0.8105762005505702
sl_eat_all_ssl_all,12,20,0.6232574670766218,0.7289303900822907,-0.5113168151185583,0.8506316535219869
sl_eat_all_ssl_all,12,21,0.6239155546917915,0.6585353321884511,0.40866189671652925,0.8001715335717602
sl_eat_all_ssl_all,12,22,0.6265388705542231,0.8094826391800028,0.6707051212180848,0.903806452834013
sl_eat_all_ssl_all,12,23,0.6252609059443016,0.7749864824715881,0.6422765410940144,0.9024757276961244
sl_eat_all_ssl_all,12,24,0.6284885316246389,0.7796760535829746,0.6756663150956457,0.9542114221362892
sl_eat_all_ssl_all,12,25,0.6183986641163636,0.7711841975659492,0.6092523888545034,0.8750471981479782
sl_eat_all_ssl_all,12,26,0.6211047185626369,0.7379390870342575,0.4986908344174742,0.808707778983738
sl_eat_all_ssl_all,12,27,0.6254313669745533,0.7762273242458348,-0.6291232174821587,0.9006145314870381
sl_eat_all_ssl_all,12,28,0.6190612190469226,0.7554019220288997,0.619109680934461,0.9305440353432692
sl_eat_all_ssl_all,12,29,0.6286499947384432,0.7752585219933765,0.633374615073241,0.9108741505578342
sl_eat_bio_ssl_all,12,0,0.0832231287585062,0.015042968725525976,0.022399389809265733,2.6757095965709436
sl_eat_bio_ssl_all,12,1,0.08173228168942052,0.004013250971767815,-0.006192866685937629,2.821848498862589
sl_eat_bio_ssl_all,12,2,0.08378139020766213,0.16865182805036372,-0.2471037865797946,2.494160259728628
sl_eat_bio_ssl_all,12,3,0.0842880815878808,0.19660769719225774,0.28556550596902136,2.572127216990116
sl_eat_bio_ssl_all,12,4,0.08526800957965794,0.022159871162246103,-0.03316439865294043,2.9069652569007096
