model,layer_idx,id,source_dataset,is_bio,within_var,between_dist
sl_eat_bio_ssl_all,9,ce979d4c-5bd0-4bb2-b7c4-5574e2c906b8,WavCaps,False,34.96707991848256,4.70470382410256
sl_eat_bio_ssl_all,9,42989fd4-c57d-4e78-8dc1-6da0c2531427,Xeno-canto,True,42.36830019395459,3.595174531108501
sl_eat_bio_ssl_all,9,a19e7385-e9a8-4d58-b5aa-3673ed2acd1d,NatureLM,False,32.34216168479631,4.762495474586789
sl_eat_bio_ssl_all,9,8643d0cf-6129-4da6-905f-103276bf0815,NatureLM,False,38.024112873947075,3.7619925490618034
sl_eat_bio_ssl_all,9,ad7f9361-5a76-4bf6-ac36-ef1627e128c4,Xeno-canto,True,45.189372581415746,3.282477737571851
sl_eat_bio_ssl_all,9,c0962a0a-1409-400d-bffb-9bb6e196051a,Watkins,True,29.838695792307433,5.486031185245727
sl_eat_bio_ssl_all,9,d9215e73-f1db-4ae6-885a-a60b21790619,iNaturalist,True,39.506757053971754,3.678855733684475
sl_eat_bio_ssl_all,9,c6c6f5e7-649b-4254-b411-59319ca8461c,WavCaps,False,38.966019177302066,3.418564525323219
sl_eat_bio_ssl_all,9,f23941f0-5f8e-4886-9cb8-cacbaf961bbf,NatureLM,False,32.415604749674436,4.611258940694968
sl_eat_bio_ssl_all,9,9723b34c-f11b-466c-aae7-9929ab5f86b1,NatureLM,False,33.45160336201871,4.468606535003927
sl_eat_bio_ssl_all,9,f516165c-9b20-4501-9984-9748f8091ea5,NatureLM,False,36.972050409736724,3.85063801836413
sl_eat_bio_ssl_all,9,d72366ce-5879-4174-936b-ea561da9d2bd,Xeno-canto,True,42.15811550704847,3.476365802291149
sl_eat_bio_ssl_all,9,6162fff4-5f9d-4cb2-bc4c-9ff9d52014b9,NatureLM,False,42.58058166275055,3.2715512486905807
sl_eat_bio_ssl_all,9,756dea88-26c7-4cec-a2cf-f1791eecf2f2,Xeno-canto,True,39.80034462675233,3.646008847430058
sl_eat_bio_ssl_all,9,91832065-0b87-45d1-95fe-33c3ddae7dca,Xeno-canto,True,42.987199012824846,3.3434952758110503
sl_eat_bio_ssl_all,9,b46bc1a4-0264-4dcf-87ea-31b1c05aaa7d,NatureLM,False,40.52172236653174,3.4291831028394792
sl_eat_bio_ssl_all,9,8d54df23-9e4a-41af-a0e5-9ecb83d3b7c9,NatureLM,False,37.53177959607085,4.679400340586705
sl_eat_bio_ssl_all,9,df771265-65b5-4559-8d89-15b61421b503,NatureLM,False,39.76281965948716,3.671074599319471
sl_eat_bio_ssl_all,9,0b35f942-95d7-44db-a270-7cdead497c26,NatureLM,False,42.94972746040627,3.171786483192294
sl_eat_bio_ssl_all,9,1b49c919-ee99-45ca-a134-aac8aa0c15ca,iNaturalist,True,34.49826795302885,4.124156318363032
sl_eat_bio_ssl_all,9,fecd09cf-3cbf-481c-a09c-66b50a95ea9b,iNaturalist,True,33.75049195274693,3.934681100740489
sl_eat_bio_ssl_all,9,fadae947-3c4f-49ff-888e-1e5a7571ffcc,NatureLM,False,37.00617252658775,4.553818024900247
sl_eat_bio_ssl_all,9,8b4b5a32-cc1c-4440-9056-57f28cd7eb08,Xeno-canto,True,36.84214984866523,3.850119565408368
sl_eat_bio_ssl_all,9,f6060001-2a4f-4e41-8e24-0aa5b2091834,Watkins,True,35.05986053198036,4.511627848323373
sl_eat_bio_ssl_all,9,69f6682f-81fc-4ebf-8882-f42b7af00514,NatureLM,False,33.61496699301164,4.3744393341109475
sl_eat_bio_ssl_all,9,0cfc7479-06b4-4bf4-9d04-d279ac2c0917,Watkins,True,36.86007420917597,4.796846855890108
sl_eat_bio_ssl_all,9,ecdd29d6-d40a-4a7f-b189-bcb77c7cf5db,NatureLM,False,36.41608146309339,3.5071601702476376
sl_eat_bio_ssl_all,9,b698b564-98dd-4cca-a056-0000696a024e,iNaturalist,True,39.48844617705179,3.469204353619881
sl_eat_bio_ssl_all,9,afbc008b-4f39-4847-afdd-800feeec2e9f,NatureLM,False,34.336905700426534,4.616443643328429
sl_eat_bio_ssl_all,9,60ef419f-51c7-4606-aeb8-c443e75d60a4,Xeno-canto,True,44.69970346764236,3.3496983012263386
sl_eat_bio_ssl_all,9,57c71e21-0f5a-4b79-b7da-caa00cb26da1,NatureLM,False,20.283154217603204,5.362558878937779
sl_eat_bio_ssl_all,9,8386bf3d-b891-4c22-8ac8-7f97643fcd3c,NatureLM,False,39.6250332734143,3.823332031151206
sl_eat_bio_ssl_all,9,316bf0c1-8d09-461f-bc82-9155bdbd3901,Xeno-canto,True,42.22077305206199,3.4064151662515307
sl_eat_bio_ssl_all,9,6b76612e-a842-4a38-a20f-d53e9e6e56e5,NatureLM,False,37.750058658542926,3.5480393773487506
sl_eat_bio_ssl_all,9,e6d6174d-1753-4cee-bbba-95ff4a6895d9,Watkins,True,25.4090951389231,5.6013266774671076
sl_eat_bio_ssl_all,9,7bb8fdd2-850f-4bfd-80da-31f07fb24e2b,Xeno-canto,True,41.77511015163944,3.2893367067742245
sl_eat_bio_ssl_all,9,0f238e01-4bc5-4865-a5ac-d448f8cefba7,NatureLM,False,36.41552064038854,4.514304339749931
sl_eat_bio_ssl_all,9,33f20638-9870-4bd3-8176-a18ef51db7e3,NatureLM,False,44.382993790986276,3.5941427030608066
sl_eat_bio_ssl_all,9,14750724-eeee-4fc8-98ed-5a3dab54b6cc,iNaturalist,True,39.467358653548196,3.7480827215622
sl_eat_bio_ssl_all,9,018d7982-41f3-4e8b-afaa-3a0d1f2e9460,Xeno-canto,True,39.69908463284161,3.592736455284262
sl_eat_bio_ssl_all,9,996db5bc-424b-473e-9cf2-d9b7e6d9aece,Xeno-canto,True,40.114020818990895,3.992712902032171
sl_eat_bio_ssl_all,9,606b0e8d-0508-4caf-bc24-cc80fcceea85,Xeno-canto,True,35.26393992785236,4.036125752402804
sl_eat_bio_ssl_all,9,958d73a1-358c-497e-8eaa-5e0ddb8aa47c,Watkins,True,33.30390943438146,4.7378573327461595
sl_eat_bio_ssl_all,9,26990953-7f52-40ed-a0b1-3acb5c2a8506,NatureLM,False,40.037568511185285,3.3815894175709436
sl_eat_bio_ssl_all,9,5a2781a5-1076-4e4a-a228-d4368649bbe2,NatureLM,False,39.32072716238098,3.5739972831752103
sl_eat_bio_ssl_all,9,176d8658-1e37-4995-9bab-7a55b33ed856,NatureLM,False,39.14368785991828,3.756623555666882
sl_eat_bio_ssl_all,9,fa24bf8c-c5f1-47c8-ab0e-214f218e8a2a,iNaturalist,True,41.48911328514303,3.508881363233854
sl_eat_bio_ssl_all,9,615a9a1c-4589-4fa4-83f1-5316ce96dfe8,NatureLM,False,33.37092448331873,4.755618222102165
sl_eat_bio_ssl_all,9,97be1029-5724-4ba8-8ae7-d94d7aa97979,NatureLM,False,38.9794869876657,4.050258580534099
sl_eat_bio_ssl_all,9,7456253e-2ffc-429e-ad36-c44ba8b79cfd,Xeno-canto,True,42.81343952620984,3.531957658235182
sl_eat_bio_ssl_all,9,c2352e92-6dcd-4c4e-9c65-ff3f440f1015,Xeno-canto,True,38.36076716084179,4.141571357981171
sl_eat_bio_ssl_all,9,6995984e-eb64-4191-82fb-f2b57c73d7e5,iNaturalist,True,34.01041443672889,4.074676028499309
sl_eat_bio_ssl_all,9,ea8cc891-c112-46e1-b234-aeb6456f0792,Xeno-canto,True,35.49925912557149,3.8419323072559917
