model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
sl_eat_all_ssl_all,10,all,800,20.309168381325097,4.0285564339762905,0.8344727592842411
sl_eat_all_ssl_all,10,bio,600,20.853520316872704,3.6251330191803124,0.8519063541031856
sl_eat_all_ssl_all,10,nonbio,200,18.67611257468229,5.238826678364221,0.7809391601236515
sl_eat_all_ssl_all,11,all,800,9.621071936691505,1.6032179569116818,0.8571653109364746
sl_eat_all_ssl_all,11,bio,600,9.924639532634167,1.6110101716512963,0.8603450856302606
sl_eat_all_ssl_all,11,nonbio,200,8.710369148863522,1.5798413126928383,0.8464714284906965
sl_eat_all_ssl_all,12,all,800,113.77599861791286,18.91177364369311,0.8574716168539869
sl_eat_all_ssl_all,12,bio,600,114.82112892432131,18.613540598119688,0.8605044651083783
sl_eat_all_ssl_all,12,nonbio,200,110.64060769868749,19.806472780413383,0.8481646909408095
sl_eat_bio_ssl_all,0,all,800,0.3564460247145787,0.05478095558930305,0.8667865723478991
sl_eat_bio_ssl_all,0,bio,600,0.3535569159911139,0.04587647614808744,0.8851461168471874
sl_eat_bio_ssl_all,0,nonbio,200,0.3651133508849733,0.08149439391294991,0.8175257933562624
sl_eat_bio_ssl_all,1,all,800,23.893606361131393,2.3294448307345506,0.9111680477725218
sl_eat_bio_ssl_all,1,bio,600,24.218002061369972,1.8310205237008466,0.9297086668906249
sl_eat_bio_ssl_all,1,nonbio,200,22.920419260415656,3.824717751835661,0.8569938994859646
sl_eat_bio_ssl_all,2,all,800,28.311575972989203,3.3100681931787106,0.8953227044177493
sl_eat_bio_ssl_all,2,bio,600,28.813220480075653,2.5559764370730056,0.9185195450229799
sl_eat_bio_ssl_all,2,nonbio,200,26.806642451729868,5.572343461495828,0.8279024711759203
sl_eat_bio_ssl_all,3,all,800,29.391668118499275,3.6368169825825727,0.8898884713769858
sl_eat_bio_ssl_all,3,bio,600,29.835318880175908,3.0341597957083244,0.9076906626470339
sl_eat_bio_ssl_all,3,nonbio,200,28.060715833469363,5.444788543205316,0.8374956997514779
