model,layer_idx,id,source_dataset,is_bio,within_var,between_dist
random_init_eat_seed42,9,206a5564-2708-48d7-9916-4331c5afb1f0,iNaturalist,True,223.68538420336347,17.72993469895611
random_init_eat_seed42,9,4737a6c3-1dbb-44d5-a48e-9efd1a064bee,iNaturalist,True,165.22521064696767,19.377961989890984
random_init_eat_seed42,9,bb4acf9c-af4f-4736-b0ce-7f12cf6fdc59,iNaturalist,True,189.9905098352234,18.955213123944073
random_init_eat_seed42,9,59b72759-5956-4f4b-8556-c198f6a29b8a,iNaturalist,True,527.5393717891716,9.968339322336245
random_init_eat_seed42,9,e54c1d0b-b018-4416-8430-4c8949687ec8,iNaturalist,True,91.67201976315195,21.640697599030894
random_init_eat_seed42,9,cac6fff4-a44c-4ec2-9006-4f57e74888ac,iNaturalist,True,445.37080142452476,11.740470688662187
random_init_eat_seed42,9,0e0ba821-15c4-4c34-afa0-05f4be6c4484,iNaturalist,True,68.62195176143234,19.340222616585766
random_init_eat_seed42,9,6725007e-7dd3-4060-a13f-56dd2a5b05a1,NatureLM,False,395.6507830678627,14.4590127292388
random_init_eat_seed42,9,4adde8a7-63e6-4948-ac84-031740678e8b,NatureLM,False,563.6095893155011,10.290308593066966
random_init_eat_seed42,9,2e32c005-b583-43d8-8082-0651abd5274f,iNaturalist,True,54.36256415243202,22.026541218823432
random_init_eat_seed42,9,1ed8e7c2-6897-4eef-88d6-86845316f6c6,iNaturalist,True,439.7872819799107,17.06267778944959
random_init_eat_seed42,9,edc2bd4a-373c-44a7-a983-ae61dc069128,iNaturalist,True,183.15993752297297,26.7582018037351
random_init_eat_seed42,9,32004731-1228-4450-a0e2-a9830daba3b7,Animal Sound Archive,True,383.04670578049814,20.818353359489493
random_init_eat_seed42,9,eca527eb-183d-4faa-be06-28ce9543b516,iNaturalist,True,38.88599937626811,22.07094382446425
random_init_eat_seed42,9,3e6b1f2c-5dca-4c77-8767-eb5394ec2c14,NatureLM,False,1.4400312765967138,23.40867434385183
random_init_eat_seed42,9,41a1dfe4-0973-4f09-988a-329ea7cb7cf5,iNaturalist,True,125.12147927488168,19.881011997255502
random_init_eat_seed42,9,1e08a0f4-be9b-4c76-9c4f-4eac81dc1c40,iNaturalist,True,167.78296168747818,17.360616340085713
random_init_eat_seed42,9,a8253011-aeba-4dc5-976d-747589d08931,NatureLM,False,628.5078382604505,6.208164046505816
