model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
eat_bio,11,bio,400,15.435685442334892,1.9438347603731092,0.8881537155398439
eat_bio,11,nonbio,200,15.072165671738198,2.475391665479529,0.8589324076332087
eat_bio,12,all,600,11.916810122169569,1.3639448711278204,0.8972991466361525
eat_bio,12,bio,400,11.850852864282436,1.2052229048246617,0.9076887323466347
eat_bio,12,nonbio,200,12.048724637943833,1.6813888037341378,0.8775400646996655
sl_eat_all_ssl_all,0,all,600,0.9932923490245678,0.14712137611697798,0.8709929801145477
sl_eat_all_ssl_all,0,bio,400,0.9692091394405571,0.11709527835574458,0.892207675456861
sl_eat_all_ssl_all,0,nonbio,200,1.041458768192589,0.20717357163944478,0.8340796045156785
sl_eat_all_ssl_all,1,all,600,26.6130411234245,2.7501340394376546,0.9063407133532357
sl_eat_all_ssl_all,1,bio,400,27.192231252993096,2.125072019309779,0.927514751286234
sl_eat_all_ssl_all,1,nonbio,200,25.454660864287305,4.000258079693404,0.86419049099061
sl_eat_all_ssl_all,2,all,600,31.84182378297827,3.4114342572400242,0.9032306672663241
sl_eat_all_ssl_all,2,bio,400,32.45640246475172,2.709163547283454,0.9229597627873739
sl_eat_all_ssl_all,2,nonbio,200,30.612666419431356,4.815975677153165,0.8640654738043869
sl_eat_all_ssl_all,3,all,600,30.691352040946178,3.686955623670513,0.8927534287132681
sl_eat_all_ssl_all,3,bio,400,31.30769169683724,3.0177410194383345,0.9120843997981865
sl_eat_all_ssl_all,3,nonbio,200,29.45867272916407,5.025384832134868,0.8542693294371831
sl_eat_all_ssl_all,4,all,600,58.25502432270545,8.582793870884958,0.8715877611979257
sl_eat_all_ssl_all,4,bio,400,59.686890352563694,7.206883657963833,0.8922637604984041
sl_eat_all_ssl_all,4,nonbio,200,55.39129226298897,11.334614296727207,0.830131730221105
sl_eat_all_ssl_all,5,all,600,59.605101821771434,9.962807176679334,0.8567901878881942
sl_eat_all_ssl_all,5,bio,400,61.091694863585055,8.563903309864804,0.8770536247705494
sl_eat_all_ssl_all,5,nonbio,200,56.63191573814418,12.760614910308398,0.8161096764873071
sl_eat_all_ssl_all,6,all,600,51.46064900411844,10.116230584974616,0.8357138157620043
sl_eat_all_ssl_all,6,bio,400,52.6857295821916,8.783787345201418,0.8571033614014454
