model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,4,Dryobates pubescens,5,50.01738608532416,2.8066751594053927,0.9492462193941207,Aves
eat_all,4,Canis latrans,6,48.77783323086147,3.0800459773052133,0.891186344858673,Mammalia
eat_all,4,Dendrocopos major,11,50.22617275605964,2.8632323067921743,0.9167019957146508,Aves
eat_all,4,Stenella coeruleoalba,5,43.49976547163658,3.479482530890718,0.8638041891478355,Mammalia
eat_all,4,Stenella attenuata,6,46.072647277315596,3.2889513966155484,0.8534295625283475,Mammalia
eat_all,4,Tyto alba,5,47.962458554390146,3.1517710175947626,0.9298272525089952,Aves
eat_all,4,Megaptera novaeangliae,10,49.35716101841949,2.8802844467481528,0.8996019390941656,Mammalia
eat_all,4,Picus viridis,5,50.57340233341021,2.832650096007858,0.926108345523736,Aves
eat_all,4,Athene noctua,7,50.14493253902766,2.88571255919906,0.9030065332325381,Aves
eat_all,4,Bubo virginianus,5,47.732633805157455,3.155787911315631,0.9112188080794211,Aves
eat_all,4,Sciurus carolinensis,7,49.40685377328593,2.996078419122388,0.9067680349575091,Mammalia
eat_all,4,Pseudorca crassidens,8,43.59733432493346,3.42803509118819,0.7689289692929796,Mammalia
eat_all,4,Globicephala macrorhynchus,9,45.237952471643496,3.2081370187144196,0.8666942193902712,Mammalia
eat_all,4,Globicephala melaena,8,44.0415788433612,3.453042075279943,0.8684369902488197,Mammalia
eat_all,4,Sterna paradisaea,5,52.33604824737034,2.6192794274842015,0.8825295754290481,Aves
eat_all,4,Strix aluco,7,49.35633365807533,2.9858661222307514,0.9072520846510993,Aves
eat_all,4,Balaenoptera physalus,12,45.96160324200375,3.613675044046309,0.5904282569464026,Mammalia
eat_all,5,Delphinus delphis,9,55.695424406858564,3.441158831990019,0.8354265375631854,Mammalia
eat_all,5,Eubalaena glacialis,7,56.33672750268838,3.3556875001546893,0.8125765280920163,Mammalia
eat_all,5,Aegolius funereus,5,57.49231224429657,3.2805172623063314,0.8615017050807593,Aves
eat_all,5,Physeter catodon,8,49.15916266231999,4.129205734449084,0.7871457179057323,Mammalia
eat_all,5,Orcinus orca,28,56.826706339762836,3.2487157989009185,0.8082184418671994,Mammalia
eat_all,5,Erignathus barbatus,7,56.66112715074747,3.3146102208234196,0.8388657785041305,Mammalia
eat_all,5,Lagenorhynchus acutus,7,52.45762657932975,3.7950600144052014,0.8916364785870192,Mammalia
eat_all,5,Strix uralensis,5,49.21870693323853,4.388596059275937,0.8129075102933726,Aves
eat_all,5,Strix varia,6,58.472644323552366,3.1435501931101406,0.8977742378304348,Aves
eat_all,5,Calidris alpina,5,58.68176080053085,3.0980916562948715,0.9063666739121387,Aves
eat_all,5,Colaptes auratus,6,58.770742877988425,3.122108026807748,0.8586944670404609,Aves
eat_all,5,Dryobates pubescens,5,58.53377982714405,3.1000405713601658,0.9164243233905717,Aves
eat_all,5,Canis latrans,6,58.29242784907555,3.259844038119259,0.8781379070789058,Mammalia
eat_all,5,Dendrocopos major,11,58.59638076440925,3.1167065577531585,0.8987995238036455,Aves
eat_all,5,Stenella coeruleoalba,5,52.58754340165756,3.829275790066748,0.8299877405588464,Mammalia
eat_all,5,Stenella attenuata,6,54.8833624671186,3.569923787867814,0.8002165942017093,Mammalia
eat_all,5,Tyto alba,5,57.78943436847377,3.273982920874911,0.90881040795474,Aves
eat_all,5,Megaptera novaeangliae,10,57.045958462392996,3.193979431694613,0.8403416160317818,Mammalia
eat_all,5,Picus viridis,5,58.9681805645003,3.028149372006283,0.9003692362451358,Aves
eat_all,5,Athene noctua,7,59.13103470835299,3.091246425249664,0.880298526553197,Aves
eat_all,5,Bubo virginianus,5,56.500315401028566,3.440674187423301,0.8788633999302735,Aves
eat_all,5,Sciurus carolinensis,7,56.99882576782564,3.3862928895725166,0.8843068647747792,Mammalia
eat_all,5,Pseudorca crassidens,8,53.52087324617845,3.6937495046225615,0.7531295478235727,Mammalia
eat_all,5,Globicephala macrorhynchus,9,54.56490333165815,3.4807141813591738,0.8502294858868049,Mammalia
eat_all,5,Globicephala melaena,8,51.38954390505943,3.9376123147829887,0.8183198107547156,Mammalia
eat_all,5,Sterna paradisaea,5,60.87819941549233,2.838666853395291,0.8312871850486555,Aves
eat_all,5,Strix aluco,7,58.68807563833389,3.1139336642011677,0.8870908464877701,Aves
eat_all,5,Balaenoptera physalus,12,50.52912306428595,4.23419770938258,0.5199444925400852,Mammalia
eat_all,6,Delphinus delphis,9,46.856662705043505,3.6538799289230615,0.8558460249978,Mammalia
eat_all,6,Eubalaena glacialis,7,44.12929144285159,3.946879822660399,0.7572942201246027,Mammalia
eat_all,6,Aegolius funereus,5,47.471910941392295,3.620067711520969,0.865913702736951,Aves
eat_all,6,Physeter catodon,8,42.5617121916325,4.1597999361608196,0.8043881654168578,Mammalia
eat_all,6,Orcinus orca,28,47.868098694039304,3.501726527731112,0.832975074323286,Mammalia
