model,layer_idx,n_samples,eff_rank_pooled,pr_pooled,twonn_pooled,n_rows,eff_rank_frame,pr_frame,twonn_frame,mle_id_frame,eff_rank_ratio_frame_over_pooled,twonn_ratio_frame_over_pooled
eat_bio,7,600,52.40558334379276,17.51472491713964,8.57204091360615,30000,199.52786417102763,79.63306048368345,6.8742073637827925,11.508530049487488,3.807377982267245,0.8019335690373998
eat_bio,8,600,43.53007545927016,14.094717039805651,8.148782977630978,30000,162.62024507039368,64.0439236425539,5.962593673965934,10.180414648755699,3.7358135347721317,0.731715851352736
eat_bio,9,600,40.08892218197985,13.620607915846929,8.197810163578444,30000,158.88546337582076,65.899103331525,5.645590710081065,9.276912021204273,3.9633258947340946,0.6886705836594655
eat_bio,10,600,31.57870870892745,9.107722685662258,8.288914277965327,30000,165.57509354415276,65.51193061747517,5.527283738607655,9.200338038063148,5.243250921699148,0.6668284353357352
eat_bio,11,600,22.900705400161144,6.389126700966876,8.238514471493511,30000,180.50877106843518,61.66717927497064,5.889186455712318,9.6544659216257,7.882236285488612,0.7148359666162852
eat_bio,12,600,22.236835775619017,6.873826559621272,8.655492078152111,30000,180.3673692499394,31.82242595534092,6.9039008475574155,12.524252048431563,8.111197612373356,0.7976323916908201
sl_eat_all_ssl_all,0,600,3.790376885852825,1.8965653041824984,9.75139651808618,30000,43.63819992640808,19.74473977650773,4.334892276384507,7.62412482707333,11.512892052841229,0.44454066331365616
sl_eat_all_ssl_all,1,600,10.101000378067273,4.690356326054936,9.671540994009952,30000,69.44970173222181,39.030699193805425,5.992128155831166,10.741457181911052,6.875527089675283,0.6195629175890768
sl_eat_all_ssl_all,2,600,13.48504426489891,6.0287732127601,10.06573375211595,30000,83.59128333003346,47.669001560173136,7.511058832139231,12.021037054086362,6.198814159447633,0.746200825206638
sl_eat_all_ssl_all,3,600,15.814271945026984,6.165706235426863,10.69008248745652,30000,106.73555161815561,60.60537367309028,8.669215027620767,13.235418876339034,6.749318083639006,0.8109586654539861
sl_eat_all_ssl_all,4,600,18.667409356902365,6.273000481380823,11.023115014946336,30000,134.45431102568728,68.2463926708488,1.6676137632387598,13.686030828080321,7.202622948640281,0.15128334966818616
sl_eat_all_ssl_all,5,600,26.987319215141817,7.438138543934446,11.513978625179202,30000,166.77550129398284,76.5297554352435,8.713850357805017,13.516410808824267,6.1797728023467355,0.7568061954491769
sl_eat_all_ssl_all,6,600,39.8438214709276,10.487466092038888,11.41289051703359,30000,187.728288239088,82.22531939861231,8.318708303990649,13.076875564241293,4.711603488537504,0.7288870677919047
sl_eat_all_ssl_all,7,600,56.64402791828654,14.454093234602762,11.2463564221799,30000,210.14042316287237,90.87100233400409,6.847967568992357,13.087447263013145,3.7098425180147223,0.608905436740996
sl_eat_all_ssl_all,8,600,46.304432699486384,11.485774768044474,10.615239348843874,30000,158.05226528913875,66.774609119273,5.149676413588321,10.582198417809156,3.413329050263732,0.48512108341195176
sl_eat_all_ssl_all,9,600,69.41247752602649,18.329873571130243,10.618712754059551,30000,185.06159038342395,80.18498995892965,3.15011828300118,8.75502228707483,2.6661141768644456,0.29665726495868194
sl_eat_all_ssl_all,10,600,74.74442452258762,19.32873437806549,9.875278787096212,30000,160.4684325067904,60.59067743083833,2.859769678560883,8.482777999094148,2.146895016340612,0.28958875391929945
sl_eat_all_ssl_all,11,600,38.979563025019885,7.674017224684719,9.91392019205137,30000,62.37036057259305,12.0075402365317,2.4991232130623744,8.751639564479929,1.6000784958148266,0.2520822403902427
sl_eat_all_ssl_all,12,600,17.179299453090668,4.1178444745436895,9.536410689532987,30000,11.170621191924326,2.590809697619994,2.393677014620089,9.139513124338228,0.6502372941589687,0.2510039775496824
sl_eat_bio_ssl_all,0,600,2.8091418041274814,1.7130066389332437,8.486620207315703,30000,17.46525978515167,6.533456398395942,5.051570172801218,8.125440048423178,6.217293751241003,0.5952393354950212
