model,layer_idx,order,n_clips,abs_cos_parent_vs_subord,subord_norm
sl_eat_all_ssl_all,3,Strigiformes,100,0.2233292628325565,0.324377764415887
sl_eat_all_ssl_all,4,Passeriformes,100,0.07176099020423443,0.3020666200717746
sl_eat_all_ssl_all,4,Charadriiformes,100,0.23169153548157684,0.2970156437488499
sl_eat_all_ssl_all,4,Piciformes,100,0.1684325565903334,0.2752863401271062
sl_eat_all_ssl_all,4,Strigiformes,100,0.2663421023141807,0.5138355930187283
sl_eat_all_ssl_all,5,Passeriformes,100,0.06796495143111646,0.3465240063279251
sl_eat_all_ssl_all,5,Charadriiformes,100,0.2602087256798371,0.4250526581495149
sl_eat_all_ssl_all,5,Piciformes,100,0.11418582621130126,0.31859747377386555
sl_eat_all_ssl_all,5,Strigiformes,100,0.21554238340772922,0.5726477146868297
sl_eat_all_ssl_all,6,Passeriformes,100,0.05685052284299709,0.34079657438995076
sl_eat_all_ssl_all,6,Charadriiformes,100,0.21440232948854898,0.46162488855083755
sl_eat_all_ssl_all,6,Piciformes,100,0.10364278926283836,0.3400552056740174
sl_eat_all_ssl_all,6,Strigiformes,100,0.19754348366149463,0.5813451627854352
sl_eat_all_ssl_all,7,Passeriformes,100,0.017729904353781096,0.4522124736283613
sl_eat_all_ssl_all,7,Charadriiformes,100,0.18575417923112408,0.5647493143949283
sl_eat_all_ssl_all,7,Piciformes,100,0.03181963434515238,0.45425607506472465
sl_eat_all_ssl_all,7,Strigiformes,100,0.11920879409599527,0.6915372078885182
sl_eat_all_ssl_all,8,Passeriformes,100,0.01390174694107155,0.399298312093961
sl_eat_all_ssl_all,8,Charadriiformes,100,0.14707994840013028,0.4764307515409113
sl_eat_all_ssl_all,8,Piciformes,100,0.08090003299625285,0.40677359514900124
sl_eat_all_ssl_all,8,Strigiformes,100,0.15711082501710844,0.6908158031082456
sl_eat_all_ssl_all,9,Passeriformes,100,0.009659523634107449,0.31028322285199583
sl_eat_all_ssl_all,9,Charadriiformes,100,0.2279809058759047,0.3947651356863306
sl_eat_all_ssl_all,9,Piciformes,100,0.008567635084517999,0.31663749724562973
sl_eat_all_ssl_all,9,Strigiformes,100,0.1844772335970349,0.5188133611740217
sl_eat_all_ssl_all,10,Passeriformes,100,0.035586495291708244,0.20155111808131898
sl_eat_all_ssl_all,10,Charadriiformes,100,0.16600680658579275,0.2885012049814112
sl_eat_all_ssl_all,10,Piciformes,100,0.04853666425337025,0.24164637603739486
sl_eat_all_ssl_all,10,Strigiformes,100,0.08572309194203775,0.33820268001697057
sl_eat_all_ssl_all,11,Passeriformes,100,0.05756994096507461,0.11083982450199319
sl_eat_all_ssl_all,11,Charadriiformes,100,0.5034926015152948,0.18293925514728562
sl_eat_all_ssl_all,11,Piciformes,100,0.03267497981742796,0.14171298044446337
sl_eat_all_ssl_all,11,Strigiformes,100,0.48432705903391654,0.21291744154082995
sl_eat_all_ssl_all,12,Passeriformes,100,0.30655006695225107,0.4796773730864739
sl_eat_all_ssl_all,12,Charadriiformes,100,0.4385948256834085,0.6575155403864867
sl_eat_all_ssl_all,12,Piciformes,100,0.6442426314281413,0.7106920099223943
sl_eat_all_ssl_all,12,Strigiformes,100,0.48771859330749145,0.6489858029265065
sl_eat_bio_ssl_all,0,Passeriformes,100,0.5799205485222187,0.03152922997083711
sl_eat_bio_ssl_all,0,Charadriiformes,100,0.5155219402250701,0.00996082275972228
sl_eat_bio_ssl_all,0,Piciformes,100,0.49226304100443585,0.039328316310369045
sl_eat_bio_ssl_all,0,Strigiformes,100,0.4639034441429496,0.013387643509249562
sl_eat_bio_ssl_all,1,Passeriformes,100,0.1232041720334864,0.11798799641922326
sl_eat_bio_ssl_all,1,Charadriiformes,100,0.36008728776043153,0.11507758060998391
sl_eat_bio_ssl_all,1,Piciformes,100,0.21582675324226047,0.11938404350131715
sl_eat_bio_ssl_all,1,Strigiformes,100,0.31851036787225195,0.1653512789256067
sl_eat_bio_ssl_all,2,Passeriformes,100,0.07655384244371001,0.166180975078109
sl_eat_bio_ssl_all,2,Charadriiformes,100,0.03388452269386578,0.1905671800418456
sl_eat_bio_ssl_all,2,Piciformes,100,0.22769574725857883,0.17762068483278812
sl_eat_bio_ssl_all,2,Strigiformes,100,0.12300559998864623,0.27786519275719795
