model,layer_idx,order_a,order_b,abs_cos_subord_pair
sl_eat_all_ssl_all,2,Piciformes,Strigiformes,0.5413578770284365
sl_eat_all_ssl_all,3,Passeriformes,Charadriiformes,0.015678797661418234
sl_eat_all_ssl_all,3,Passeriformes,Piciformes,0.22598367489071283
sl_eat_all_ssl_all,3,Passeriformes,Strigiformes,0.7327557521216245
sl_eat_all_ssl_all,3,Charadriiformes,Piciformes,0.11801694342024771
sl_eat_all_ssl_all,3,Charadriiformes,Strigiformes,0.4653825659450301
sl_eat_all_ssl_all,3,Piciformes,Strigiformes,0.5805480795143816
sl_eat_all_ssl_all,4,Passeriformes,Charadriiformes,0.05699991066048495
sl_eat_all_ssl_all,4,Passeriformes,Piciformes,0.296721849441209
sl_eat_all_ssl_all,4,Passeriformes,Strigiformes,0.7138819861865626
sl_eat_all_ssl_all,4,Charadriiformes,Piciformes,0.18550791209667972
sl_eat_all_ssl_all,4,Charadriiformes,Strigiformes,0.445142199827247
sl_eat_all_ssl_all,4,Piciformes,Strigiformes,0.6029483673851559
sl_eat_all_ssl_all,5,Passeriformes,Charadriiformes,0.14731386186421758
sl_eat_all_ssl_all,5,Passeriformes,Piciformes,0.19726285166357072
sl_eat_all_ssl_all,5,Passeriformes,Strigiformes,0.6055321484126397
sl_eat_all_ssl_all,5,Charadriiformes,Piciformes,0.27504653255209965
sl_eat_all_ssl_all,5,Charadriiformes,Strigiformes,0.500096169594079
sl_eat_all_ssl_all,5,Piciformes,Strigiformes,0.4715786309451109
sl_eat_all_ssl_all,6,Passeriformes,Charadriiformes,0.23130288558684753
sl_eat_all_ssl_all,6,Passeriformes,Piciformes,0.24997444229869897
sl_eat_all_ssl_all,6,Passeriformes,Strigiformes,0.5487712217550726
sl_eat_all_ssl_all,6,Charadriiformes,Piciformes,0.2932671274148088
sl_eat_all_ssl_all,6,Charadriiformes,Strigiformes,0.4869212828876347
sl_eat_all_ssl_all,6,Piciformes,Strigiformes,0.4986078659364297
sl_eat_all_ssl_all,7,Passeriformes,Charadriiformes,0.28950126207107174
sl_eat_all_ssl_all,7,Passeriformes,Piciformes,0.15617199865096426
sl_eat_all_ssl_all,7,Passeriformes,Strigiformes,0.520088363254197
sl_eat_all_ssl_all,7,Charadriiformes,Piciformes,0.32716129673749667
sl_eat_all_ssl_all,7,Charadriiformes,Strigiformes,0.41244232464821445
sl_eat_all_ssl_all,7,Piciformes,Strigiformes,0.49182903743688255
sl_eat_all_ssl_all,8,Passeriformes,Charadriiformes,0.13880888649796536
sl_eat_all_ssl_all,8,Passeriformes,Piciformes,0.06754955129752103
sl_eat_all_ssl_all,8,Passeriformes,Strigiformes,0.522060975794647
sl_eat_all_ssl_all,8,Charadriiformes,Piciformes,0.1130025982463589
sl_eat_all_ssl_all,8,Charadriiformes,Strigiformes,0.5428917389270742
sl_eat_all_ssl_all,8,Piciformes,Strigiformes,0.5499447362329897
sl_eat_all_ssl_all,9,Passeriformes,Charadriiformes,0.1637403804611917
sl_eat_all_ssl_all,9,Passeriformes,Piciformes,0.19959604627992097
sl_eat_all_ssl_all,9,Passeriformes,Strigiformes,0.5952919862669943
sl_eat_all_ssl_all,9,Charadriiformes,Piciformes,0.32926339544105077
sl_eat_all_ssl_all,9,Charadriiformes,Strigiformes,0.46201772790101814
sl_eat_all_ssl_all,9,Piciformes,Strigiformes,0.4791458527036058
sl_eat_all_ssl_all,10,Passeriformes,Charadriiformes,0.19221783131047415
sl_eat_all_ssl_all,10,Passeriformes,Piciformes,0.14155220625333106
sl_eat_all_ssl_all,10,Passeriformes,Strigiformes,0.5331163269282544
sl_eat_all_ssl_all,10,Charadriiformes,Piciformes,0.42531286151614073
sl_eat_all_ssl_all,10,Charadriiformes,Strigiformes,0.4346025238139769
sl_eat_all_ssl_all,10,Piciformes,Strigiformes,0.4360492408897627
sl_eat_all_ssl_all,11,Passeriformes,Charadriiformes,0.1535359536512886
sl_eat_all_ssl_all,11,Passeriformes,Piciformes,0.13333454306048698
sl_eat_all_ssl_all,11,Passeriformes,Strigiformes,0.47741005690120725
sl_eat_all_ssl_all,11,Charadriiformes,Piciformes,0.35610419240438596
sl_eat_all_ssl_all,11,Charadriiformes,Strigiformes,0.5422612098193318
sl_eat_all_ssl_all,11,Piciformes,Strigiformes,0.42902783644430337
sl_eat_all_ssl_all,12,Passeriformes,Charadriiformes,0.43194751114053337
sl_eat_all_ssl_all,12,Passeriformes,Piciformes,0.1385610714663885
sl_eat_all_ssl_all,12,Passeriformes,Strigiformes,0.45322971611449836
sl_eat_all_ssl_all,12,Charadriiformes,Piciformes,0.6081002983868244
sl_eat_all_ssl_all,12,Charadriiformes,Strigiformes,0.027958307149425744
sl_eat_all_ssl_all,12,Piciformes,Strigiformes,0.5814047616462336
sl_eat_bio_ssl_all,0,Passeriformes,Charadriiformes,0.3750018708519968
sl_eat_bio_ssl_all,0,Passeriformes,Piciformes,0.9107210319132986
sl_eat_bio_ssl_all,0,Passeriformes,Strigiformes,0.5993185785759078
sl_eat_bio_ssl_all,0,Charadriiformes,Piciformes,0.042519939212799465
sl_eat_bio_ssl_all,0,Charadriiformes,Strigiformes,0.014225313636164789
sl_eat_bio_ssl_all,0,Piciformes,Strigiformes,0.8244743262921777
sl_eat_bio_ssl_all,1,Passeriformes,Charadriiformes,0.12032363692984242
sl_eat_bio_ssl_all,1,Passeriformes,Piciformes,0.49392529263700924
sl_eat_bio_ssl_all,1,Passeriformes,Strigiformes,0.4406744821685536
sl_eat_bio_ssl_all,1,Charadriiformes,Piciformes,0.12478587633998434
sl_eat_bio_ssl_all,1,Charadriiformes,Strigiformes,0.6917151969271377
sl_eat_bio_ssl_all,1,Piciformes,Strigiformes,0.2827352895624986
sl_eat_bio_ssl_all,2,Passeriformes,Charadriiformes,0.055604215403329604
sl_eat_bio_ssl_all,2,Passeriformes,Piciformes,0.10942002810227922
sl_eat_bio_ssl_all,2,Passeriformes,Strigiformes,0.48998514729136944
sl_eat_bio_ssl_all,2,Charadriiformes,Piciformes,0.122459219221571
sl_eat_bio_ssl_all,2,Charadriiformes,Strigiformes,0.5742893856317176
sl_eat_bio_ssl_all,2,Piciformes,Strigiformes,0.4898029922634029
sl_eat_bio_ssl_all,3,Passeriformes,Charadriiformes,0.07712338332719675
sl_eat_bio_ssl_all,3,Passeriformes,Piciformes,0.13470854849324493
sl_eat_bio_ssl_all,3,Passeriformes,Strigiformes,0.6519723847235226
sl_eat_bio_ssl_all,3,Charadriiformes,Piciformes,0.12032914797190057
sl_eat_bio_ssl_all,3,Charadriiformes,Strigiformes,0.4739208694191699
sl_eat_bio_ssl_all,3,Piciformes,Strigiformes,0.567858560745425
sl_eat_bio_ssl_all,4,Passeriformes,Charadriiformes,0.14020762045697496
sl_eat_bio_ssl_all,4,Passeriformes,Piciformes,0.13503189421638143
sl_eat_bio_ssl_all,4,Passeriformes,Strigiformes,0.6288750666498244
sl_eat_bio_ssl_all,4,Charadriiformes,Piciformes,0.22399761830309123
sl_eat_bio_ssl_all,4,Charadriiformes,Strigiformes,0.45148006338737734
sl_eat_bio_ssl_all,4,Piciformes,Strigiformes,0.5093030302792851
sl_eat_bio_ssl_all,5,Passeriformes,Charadriiformes,0.16450379048427355
sl_eat_bio_ssl_all,5,Passeriformes,Piciformes,0.11907225938115165
sl_eat_bio_ssl_all,5,Passeriformes,Strigiformes,0.5664799500810734
sl_eat_bio_ssl_all,5,Charadriiformes,Piciformes,0.34653627000909487
sl_eat_bio_ssl_all,5,Charadriiformes,Strigiformes,0.4874280714613318
sl_eat_bio_ssl_all,5,Piciformes,Strigiformes,0.4121087101422889
sl_eat_bio_ssl_all,6,Passeriformes,Charadriiformes,0.1796231552806289
sl_eat_bio_ssl_all,6,Passeriformes,Piciformes,0.08308253997343863
sl_eat_bio_ssl_all,6,Passeriformes,Strigiformes,0.5195173733322616
sl_eat_bio_ssl_all,6,Charadriiformes,Piciformes,0.42532944902056075
sl_eat_bio_ssl_all,6,Charadriiformes,Strigiformes,0.5336377520877045
sl_eat_bio_ssl_all,6,Piciformes,Strigiformes,0.2923600885245959
sl_eat_bio_ssl_all,7,Passeriformes,Charadriiformes,0.2588059508269529
sl_eat_bio_ssl_all,7,Passeriformes,Piciformes,0.06160660891320344
sl_eat_bio_ssl_all,7,Passeriformes,Strigiformes,0.4704757945223654
sl_eat_bio_ssl_all,7,Charadriiformes,Piciformes,0.3834620346309509
sl_eat_bio_ssl_all,7,Charadriiformes,Strigiformes,0.4683273426734163
sl_eat_bio_ssl_all,7,Piciformes,Strigiformes,0.38409791065947174
sl_eat_bio_ssl_all,8,Passeriformes,Charadriiformes,0.2771767286036081
sl_eat_bio_ssl_all,8,Passeriformes,Piciformes,0.07910214407536172
sl_eat_bio_ssl_all,8,Passeriformes,Strigiformes,0.47277095446142803
sl_eat_bio_ssl_all,8,Charadriiformes,Piciformes,0.34055651761223776
sl_eat_bio_ssl_all,8,Charadriiformes,Strigiformes,0.470965182692449
sl_eat_bio_ssl_all,8,Piciformes,Strigiformes,0.41210429886523403
sl_eat_bio_ssl_all,9,Passeriformes,Charadriiformes,0.264098720458876
sl_eat_bio_ssl_all,9,Passeriformes,Piciformes,0.0015600308612708927
sl_eat_bio_ssl_all,9,Passeriformes,Strigiformes,0.42776693485804035
sl_eat_bio_ssl_all,9,Charadriiformes,Piciformes,0.4290019450374945
sl_eat_bio_ssl_all,9,Charadriiformes,Strigiformes,0.45539777210196775
sl_eat_bio_ssl_all,9,Piciformes,Strigiformes,0.35067169700021106
sl_eat_bio_ssl_all,10,Passeriformes,Charadriiformes,0.2714506026980846
sl_eat_bio_ssl_all,10,Passeriformes,Piciformes,0.08556454918538665
sl_eat_bio_ssl_all,10,Passeriformes,Strigiformes,0.36293795618464947
sl_eat_bio_ssl_all,10,Charadriiformes,Piciformes,0.4108452079873976
sl_eat_bio_ssl_all,10,Charadriiformes,Strigiformes,0.46491422177354014
sl_eat_bio_ssl_all,10,Piciformes,Strigiformes,0.34898053624751374
sl_eat_bio_ssl_all,11,Passeriformes,Charadriiformes,0.2579987088147001
sl_eat_bio_ssl_all,11,Passeriformes,Piciformes,0.07447351410118272
sl_eat_bio_ssl_all,11,Passeriformes,Strigiformes,0.39465947091770387
sl_eat_bio_ssl_all,11,Charadriiformes,Piciformes,0.31274699284575586
sl_eat_bio_ssl_all,11,Charadriiformes,Strigiformes,0.46279471404259853
sl_eat_bio_ssl_all,11,Piciformes,Strigiformes,0.433575379627391
sl_eat_bio_ssl_all,12,Passeriformes,Charadriiformes,0.2855628529092111
sl_eat_bio_ssl_all,12,Passeriformes,Piciformes,0.14099115854972707
sl_eat_bio_ssl_all,12,Passeriformes,Strigiformes,0.3763061657348945
sl_eat_bio_ssl_all,12,Charadriiformes,Piciformes,0.38634843215009196
sl_eat_bio_ssl_all,12,Charadriiformes,Strigiformes,0.40180692738187346
sl_eat_bio_ssl_all,12,Piciformes,Strigiformes,0.3815330864504563
random_init_eat_seed42,0,Passeriformes,Charadriiformes,0.5857025732219031
random_init_eat_seed42,0,Passeriformes,Piciformes,0.9849018747702621
random_init_eat_seed42,0,Passeriformes,Strigiformes,0.9209447887512331
random_init_eat_seed42,0,Charadriiformes,Piciformes,0.4742780509876531
random_init_eat_seed42,0,Charadriiformes,Strigiformes,0.5502767795715896
random_init_eat_seed42,0,Piciformes,Strigiformes,0.95134195703386
random_init_eat_seed42,1,Passeriformes,Charadriiformes,0.6105664283589717
random_init_eat_seed42,1,Passeriformes,Piciformes,0.9796867568383764
random_init_eat_seed42,1,Passeriformes,Strigiformes,0.8705957067769314
random_init_eat_seed42,1,Charadriiformes,Piciformes,0.476454419690459
random_init_eat_seed42,1,Charadriiformes,Strigiformes,0.48062983702954515
random_init_eat_seed42,1,Piciformes,Strigiformes,0.925632116018599
random_init_eat_seed42,2,Passeriformes,Charadriiformes,0.715332947431254
random_init_eat_seed42,2,Passeriformes,Piciformes,0.9747230582030209
random_init_eat_seed42,2,Passeriformes,Strigiformes,0.9183551394450541
random_init_eat_seed42,2,Charadriiformes,Piciformes,0.5618825742488347
random_init_eat_seed42,2,Charadriiformes,Strigiformes,0.5064417043495552
random_init_eat_seed42,2,Piciformes,Strigiformes,0.9738155046615211
random_init_eat_seed42,3,Passeriformes,Charadriiformes,0.8762889684919389
random_init_eat_seed42,3,Passeriformes,Piciformes,0.9829869840732681
random_init_eat_seed42,3,Passeriformes,Strigiformes,0.8998825770196837
random_init_eat_seed42,3,Charadriiformes,Piciformes,0.7964081094757454
random_init_eat_seed42,3,Charadriiformes,Strigiformes,0.7578864173353006
random_init_eat_seed42,3,Piciformes,Strigiformes,0.9469609978605982
random_init_eat_seed42,4,Passeriformes,Charadriiformes,0.7532432831995339
random_init_eat_seed42,4,Passeriformes,Piciformes,0.9783323523681876
random_init_eat_seed42,4,Passeriformes,Strigiformes,0.9081429516183053
random_init_eat_seed42,4,Charadriiformes,Piciformes,0.6233189442951995
random_init_eat_seed42,4,Charadriiformes,Strigiformes,0.6210037096339571
random_init_eat_seed42,4,Piciformes,Strigiformes,0.951550055112357
random_init_eat_seed42,5,Passeriformes,Charadriiformes,0.9188406793477889
random_init_eat_seed42,5,Passeriformes,Piciformes,0.9836988775946733
