model,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
sl_eat_all_ssl_all,1,layer_01,0.9122221924443344,0.3736755571901275,0.9986478060775792,10,20000,10000
sl_eat_all_ssl_all,2,layer_02,0.7977905433774071,0.1775829192496972,0.9982625343432304,10,20000,10000
sl_eat_all_ssl_all,3,layer_03,0.8062865895635852,0.1320539372446537,0.9952128221618664,10,20000,10000
sl_eat_all_ssl_all,4,layer_04,0.8348100599842517,0.4812355855445308,0.9685603814435654,10,20000,10000
sl_eat_all_ssl_all,5,layer_05,0.7993213102940449,0.3224020907558044,0.975170581631602,10,20000,10000
sl_eat_all_ssl_all,6,layer_06,0.7330768155365862,0.2255557202419012,0.9637448954307024,10,20000,10000
sl_eat_all_ssl_all,7,layer_07,0.7266901732043903,0.1834886847774679,0.9643855915067908,10,20000,10000
sl_eat_all_ssl_all,8,layer_08,0.7435976897996042,0.0104413103199685,0.9798383545531894,10,20000,10000
sl_eat_all_ssl_all,9,layer_09,0.684178907858667,0.0009564054227522,0.9964972097634116,10,20000,10000
sl_eat_all_ssl_all,10,layer_10,0.7726364711589633,0.1343326541665298,0.9980728217077732,10,20000,10000
sl_eat_all_ssl_all,11,layer_11,0.8097624417702562,0.2110250364226685,0.9975917923519072,10,20000,10000
sl_eat_all_ssl_all,12,layer_12,0.8027884618289478,0.3439746690393748,0.9987907690702652,10,20000,10000
sl_eat_bio_ssl_all,0,layer_00,0.8993564526313647,0.1425762254875001,0.9999149951151256,10,20000,10000
sl_eat_bio_ssl_all,1,layer_01,0.8845547158248752,0.1449459801687741,0.9994480876193212,10,20000,10000
sl_eat_bio_ssl_all,2,layer_02,0.8141742184510565,0.0865969038049349,0.9960483333524272,10,20000,10000
sl_eat_bio_ssl_all,3,layer_03,0.8171028911791961,0.4463458746617791,0.989276496918445,10,20000,10000
sl_eat_bio_ssl_all,4,layer_04,0.7608695036942099,0.0487226216251721,0.9698478389099486,10,20000,10000
sl_eat_bio_ssl_all,5,layer_05,0.7423911319512653,0.233670940667387,0.9462626529683692,10,20000,10000
sl_eat_bio_ssl_all,6,layer_06,0.648053919955569,0.1038442864193063,0.92792253597985,10,20000,10000
sl_eat_bio_ssl_all,7,layer_07,0.6014066815011139,0.0462544550953575,0.8973373095292643,10,20000,10000
sl_eat_bio_ssl_all,8,layer_08,0.685046911015465,0.1939293795094038,0.956881482528868,10,20000,10000
sl_eat_bio_ssl_all,9,layer_09,0.5698640681245404,0.0266476909279329,0.94655253182261,10,20000,10000
sl_eat_bio_ssl_all,10,layer_10,0.6687409098764003,0.0278599241715321,0.9616262935971048,10,20000,10000
sl_eat_bio_ssl_all,11,layer_11,0.715391719487562,0.0539594415377805,0.9768406498809564,10,20000,10000
