effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,n_rows,model,layer_idx,frames_per_item,n_items
134.55394611448938,72.22850958452122,13.848728839420922,0.8171028911791975,30000,sl_eat_bio_ssl_all,3,50,600
134.64418615350684,72.16368775710897,9.086334079108086,0.8379111841713854,60000,sl_eat_bio_ssl_all,3,100,600
134.7652715923211,72.234264482424,7.375793895368116,0.837807830496683,120000,sl_eat_bio_ssl_all,3,200,600
189.76799811623184,95.05351000522664,18.421476120465954,0.6888485722767703,6000,sl_eat_bio_ssl_all,4,10,600
193.2174932871383,96.47180260673,14.283704719982627,0.7135169116912633,18000,sl_eat_bio_ssl_all,4,30,600
193.86154743434858,96.63405790261166,14.56678070696998,0.7608695036942101,30000,sl_eat_bio_ssl_all,4,50,600
194.2071291617942,96.62258132896325,9.345615206508715,0.752010279937073,60000,sl_eat_bio_ssl_all,4,100,600
194.50246896965217,96.76528298023673,7.647145220940686,0.7272801241334264,120000,sl_eat_bio_ssl_all,4,200,600
251.08940937696195,119.46590819984121,16.505111009205173,0.7215408282159412,6000,sl_eat_bio_ssl_all,5,10,600
256.22402054034995,120.98119146606842,12.33846994478451,0.7405959303613378,18000,sl_eat_bio_ssl_all,5,30,600
257.3208427711694,121.20472271326872,12.636856411961546,0.7423911319512648,30000,sl_eat_bio_ssl_all,5,50,600
257.87318170184886,121.12673284488143,8.400471402518217,0.7449390301638631,60000,sl_eat_bio_ssl_all,5,100,600
258.2536284839996,121.2328422779628,6.955696830867114,0.7465404770194967,120000,sl_eat_bio_ssl_all,5,200,600
308.779492235602,148.64836947384887,14.526178795979964,0.6080550462816524,6000,sl_eat_bio_ssl_all,6,10,600
315.68981568966075,150.4015549251979,10.70167169610226,0.6523981351673178,18000,sl_eat_bio_ssl_all,6,30,600
317.28002040718894,150.73049961630943,10.843976821829106,0.6480539199555684,30000,sl_eat_bio_ssl_all,6,50,600
318.2974635582317,150.89197553834887,7.569823789693372,0.6537557435185027,60000,sl_eat_bio_ssl_all,6,100,600
318.579920601299,150.86109126858236,6.38233059614093,0.6557131262401462,120000,sl_eat_bio_ssl_all,6,200,600
337.0382835083968,163.36493666129746,12.731496995113243,0.5780934178902823,6000,sl_eat_bio_ssl_all,7,10,600
346.1003539892794,166.4843225407706,9.358015635651057,0.5932015397035093,18000,sl_eat_bio_ssl_all,7,30,600
347.94337566505624,166.89083644453893,9.388163750386813,0.6014066815011124,30000,sl_eat_bio_ssl_all,7,50,600
349.22600967164817,167.14578515227757,6.830437907745458,0.6046161225571626,60000,sl_eat_bio_ssl_all,7,100,600
349.7245036998011,167.2978029211018,5.839213172079083,0.5991254636982939,120000,sl_eat_bio_ssl_all,7,200,600
295.7604453178429,125.12643243983905,12.254508889951818,0.6830581144860027,6000,sl_eat_bio_ssl_all,8,10,600
303.971687458738,127.37755819949663,8.934226530356916,0.7245258222151272,18000,sl_eat_bio_ssl_all,8,30,600
305.0899827618259,127.54789472430225,8.953759725030189,0.6850469110154649,30000,sl_eat_bio_ssl_all,8,50,600
305.80482218246925,127.28723640792619,6.604634683680519,0.7161546775698773,60000,sl_eat_bio_ssl_all,8,100,600
306.30105026798765,127.30425693369156,5.665208185561625,0.7222788700718562,120000,sl_eat_bio_ssl_all,8,200,600
305.820248321809,131.1896556688569,10.419286469396186,0.5727294002946974,6000,sl_eat_bio_ssl_all,9,10,600
314.23809065711777,133.9507620707915,7.406411090855614,0.5702761965904711,18000,sl_eat_bio_ssl_all,9,30,600
315.0979649361685,134.04733418609024,7.350209863672449,0.5698640681245408,30000,sl_eat_bio_ssl_all,9,50,600
316.37189588682963,134.22905934057695,5.676816570299877,0.5790752561728725,60000,sl_eat_bio_ssl_all,9,100,600
316.54686964931443,133.9319836590507,4.993126676154966,0.5803205885457458,120000,sl_eat_bio_ssl_all,9,200,600
274.87530808015373,104.29847378580688,10.480646286113428,0.6518246946790037,6000,sl_eat_bio_ssl_all,10,10,600
282.1866936611479,105.86303719577586,7.388026970422482,0.67175931553675,18000,sl_eat_bio_ssl_all,10,30,600
283.27881960384093,106.19724398526873,7.37692993824826,0.6687409098764013,30000,sl_eat_bio_ssl_all,10,50,600
284.3172613213564,106.28488565731149,5.711139205972014,0.6716621457490952,60000,sl_eat_bio_ssl_all,10,100,600
284.1542636969937,105.68275615645587,5.0268140211627514,0.6728059096056801,120000,sl_eat_bio_ssl_all,10,200,600
245.6403094487597,62.72491486232767,12.126167993768773,0.7280114404823395,6000,sl_eat_bio_ssl_all,11,10,600
