model,layer_idx,metric,n_bootstraps,p05,p50,p95,mean,std
eat_bio,7,top1_share,30,0.04689664016667081,0.04778433483009409,0.04858319139904354,0.04775457361766603,0.0004969652206016058
eat_bio,7,top10_share,30,0.28970851912275003,0.2919528662914015,0.29534885496501145,0.29223097830117123,0.0018545620728590926
eat_bio,7,mean_l2_norm,30,6.867843974852832,6.871668471075868,6.873193091537557,6.871097111930142,0.0020246439451384224
eat_bio,9,cos_class_aves_vs_mammalia,30,0.6357515834644833,0.649729725398273,0.6758354615240662,0.6522792818395031,0.013491461949781606
eat_bio,9,cos_order_passer_vs_other_aves,30,0.8541581068891134,0.894941536399442,0.9360954510438626,0.8950646695226243,0.029977871328065665
eat_bio,9,abs_cos_veitch_class_vs_passer_subord,30,0.00978389811576475,0.08385592047155094,0.20039458636593555,0.09660308095465497,0.06270489093644945
eat_bio,9,species_separability_ratio,30,0.07023489771765587,0.07615731333023112,0.08212348345488724,0.07564367554053925,0.0037681024427375846
eat_bio,9,top1_share,30,0.05347793513994792,0.05422812122068091,0.05482567547857583,0.05418041114097113,0.00041423980723781257
eat_bio,9,top10_share,30,0.31474808621206657,0.3171162671748659,0.3205101371669614,0.31732115885009704,0.0016484303010954001
eat_bio,9,mean_l2_norm,30,5.313405557728664,5.316856074291075,5.319161855858551,5.31666759871175,0.0017959633736854635
eat_bio,10,cos_class_aves_vs_mammalia,30,0.6227274730563461,0.6633487858746949,0.7007595755467236,0.6614167073261039,0.02486327374673496
eat_bio,10,cos_order_passer_vs_other_aves,30,0.9167079839545593,0.9312985198415464,0.9466596229908888,0.9329748184102354,0.010913535059810195
eat_bio,10,abs_cos_veitch_class_vs_passer_subord,30,0.014573130094664486,0.09021700917639433,0.284930980337715,0.12051100503062388,0.09427413010428859
eat_bio,10,species_separability_ratio,30,0.07828031863069373,0.08530782064768697,0.09282915268032402,0.0852222191516287,0.004544319831130192
eat_bio,10,top1_share,30,0.05179217262956481,0.052817595003270906,0.054326799917711166,0.05299107214312193,0.000779296491293406
