model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
sl_eat_bio_ssl_all,4,Delphinus delphis,8,55.04278071410232,3.221483848928328,0.8358638409708204,Mammalia
sl_eat_bio_ssl_all,4,Balaenoptera physalus,8,49.06201870432227,4.167390416195073,0.6076686712379723,Mammalia
sl_eat_bio_ssl_all,4,Erithacus rubecula,6,58.38552665370468,2.7343455876630753,0.7950539384240561,Aves
sl_eat_bio_ssl_all,4,Parus major,6,60.72559519691441,2.4159964769519418,0.7699755546178608,Aves
sl_eat_bio_ssl_all,4,Stenella coeruleoalba,5,52.48880586982909,3.2987371026409384,0.8489078490847403,Mammalia
sl_eat_bio_ssl_all,4,Megaptera novaeangliae,8,58.14527296768814,2.609821077217728,0.8385694159264209,Mammalia
sl_eat_bio_ssl_all,4,Anthus trivialis,5,59.44879764031652,2.6823421333431754,0.6995793874728605,Aves
sl_eat_bio_ssl_all,4,Globicephala macrorhynchus,7,54.93424194636736,3.0598514472982705,0.8612021120237396,Mammalia
sl_eat_bio_ssl_all,4,Orcinus orca,18,57.4613801226757,2.800124542878568,0.8208605938126728,Mammalia
sl_eat_bio_ssl_all,4,Fringilla coelebs,14,60.52743204674617,2.409949761883127,0.8405030614675127,Aves
sl_eat_bio_ssl_all,4,Turdus merula,10,60.70559094969679,2.426440193070774,0.8009010638374646,Aves
sl_eat_bio_ssl_all,5,Lagenorhynchus acutus,6,58.58108683587423,3.609070096841096,0.8169935966222971,Mammalia
sl_eat_bio_ssl_all,5,Delphinus delphis,8,60.67545268287705,3.5483894119268986,0.8153132924122238,Mammalia
sl_eat_bio_ssl_all,5,Balaenoptera physalus,8,53.478886040153995,4.4626641798395665,0.6126918453183849,Mammalia
sl_eat_bio_ssl_all,5,Erithacus rubecula,6,65.4414220369879,2.884577257261232,0.7278886284034315,Aves
sl_eat_bio_ssl_all,5,Parus major,6,67.9279788074211,2.4548887815615283,0.7179920782868587,Aves
sl_eat_bio_ssl_all,5,Stenella coeruleoalba,5,58.57734603065133,3.711276745687774,0.8161406258888152,Mammalia
