source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
Xeno-canto,12,model.blocks.11,-0.040711697428487244,0.12642208127983828,-0.0767681747674942,1.0407117003202437,0.12642207961410445,1.0767682194709778,13.828257541656495,0.8479333140002652,13.896538734436035,4.42848201751709,0.6407306080537145,4.297719240188599,12.941739549636841,0.7752867547580797,12.879239082336426,8.513257551193238,0.9956788462762577,8.584913730621338
WavCaps,0,model.pos_drop,0.7632808417081833,0.07053580627776411,0.755689412355423,0.23671915829181672,0.0705358062777641,0.24431058764457703,0.26754716530442235,0.10570560074206961,0.23542355746030807,0.39953877866268156,0.1824552800087496,0.3321433812379837,0.23948113776743413,0.093111066039907,0.20901614427566528,-0.1600576415657997,0.11611453734066289,-0.1295047253370285
WavCaps,1,model.blocks.0,0.7836322122812271,0.04976762909295749,0.7779658436775208,0.21636778771877288,0.04976762909295751,0.22203415632247925,1.2977996146678925,0.2999637130417659,1.1807089447975159,2.0906498432159424,0.7722063859585375,1.800438106060028,1.8937138795852662,0.5409253631467249,1.6449020504951477,-0.19693596363067628,0.3058940910345954,-0.10106348991394043
WavCaps,2,model.blocks.1,0.7465338814258575,0.048222331712418694,0.7476929426193237,0.2534661185741425,0.048222331712418715,0.25230705738067627,1.6240112566947937,0.386608924125319,1.4987573623657227,2.2841034841537478,0.6687746421609456,2.150358557701111,2.2590504443645476,0.4664853072643402,2.0931308269500732,-0.02505303978919983,0.30975331277276363,-0.012237071990966797
WavCaps,3,model.blocks.2,0.7640050554275513,0.05138696529110639,0.7704848349094391,0.23599494457244874,0.05138696529110641,0.2295151650905609,1.7053108263015746,0.42747868900219366,1.6527023315429688,2.2968572998046874,0.6616057530192997,2.242175579071045,2.520095955133438,0.4186972779956955,2.433379292488098,0.22323865532875062,0.3343326128757928,0.31323474645614624
WavCaps,4,model.blocks.3,0.7130419355630875,0.05981637510062093,0.7152447998523712,0.2869580644369125,0.059816375100620954,0.2847552001476288,2.571974810361862,0.7371322585978799,2.3688337802886963,3.322254785299301,1.008406622408274,3.214516043663025,3.330629279613495,0.604316875724028,3.2360278367996216,0.008374494314193726,0.5440684394636164,0.14136624336242676
WavCaps,5,model.blocks.4,0.6437884190678597,0.07491950998982273,0.6535923779010773,0.35621158123016355,0.07491951069695373,0.34640762209892273,3.1377693104743956,0.8317708567197887,2.871557831764221,3.5107968473434448,0.9904232668694337,3.340430974960327,3.771976034641266,0.6033479089309837,3.7247527837753296,0.261179187297821,0.56910852568835,0.39721834659576416
WavCaps,6,model.blocks.5,0.5671632358431816,0.06424322835525034,0.5666290521621704,0.4328367656469345,0.06424323089253962,0.4333709478378296,3.6871982765197755,0.7484292850028277,3.61176598072052,3.7283771872520446,0.8928974041756786,3.615721344947815,4.076113038063049,0.5253047266981652,4.105878114700317,0.34773585081100467,0.5869048195075071,0.5317485332489014
WavCaps,7,model.blocks.6,0.4722824916243553,0.06812348024601937,0.47015437483787537,0.527717507481575,0.06812347682431,0.5298456251621246,5.1820550060272215,0.8192326154593472,5.105886697769165,4.503913495540619,0.8463302201653474,4.389692068099976,5.403535394668579,0.5608102731695302,5.377395153045654,0.8996218991279602,0.608367139525884,0.9976682662963867
WavCaps,8,model.blocks.7,0.4401016430556774,0.08323999557059747,0.42658403515815735,0.5598983573913574,0.08323999386076716,0.5734159648418427,5.14552063703537,0.7233794733692165,5.068254709243774,4.116342163085937,0.755690925766427,4.010911464691162,5.339026074409485,0.4275795289778322,5.32581090927124,1.2226839113235473,0.642113915602007,1.3297109603881836
WavCaps,9,model.blocks.8,0.34458877503871915,0.08073372381635915,0.33770792186260223,0.6554112255573272,0.08073372403473128,0.6622920632362366,4.816521253585815,0.616023267589867,4.800631046295166,3.1232023286819457,0.704294239152383,2.8754972219467163,4.825270390510559,0.325322847189979,4.83144998550415,1.7020680618286133,0.6336615677957637,1.8971879482269287
WavCaps,10,model.blocks.9,0.31720985792577266,0.08287027583650898,0.31070706248283386,0.6827901369333267,0.08287027839063778,0.6892929375171661,3.6894615125656127,0.3966415808968798,3.648838520050049,2.3598316311836243,0.46921094624180615,2.2369306087493896,3.639157226085663,0.23113332176728618,3.635097622871399,1.2793255949020386,0.47661322570758463,1.4136744737625122
WavCaps,11,model.blocks.10,0.24979534082114696,0.08629236757357352,0.2442372664809227,0.7502046585083008,0.08629236947952204,0.7557627558708191,3.574516086578369,0.2434624693101819,3.590492606163025,1.6760409653186799,0.18623968830869106,1.6482601761817932,3.603619816303253,0.23830240722942372,3.6176263093948364,1.9275788521766664,0.25217904629161575,1.9224231243133545
WavCaps,12,model.blocks.11,0.08186228973208927,0.10901788309378667,0.10790856927633286,0.9181377118825913,0.10901788536135505,0.8920914232730865,13.006938848495484,0.7293164054219325,13.007586002349854,5.098346059322357,1.406920406185923,4.583639144897461,12.398343315124512,0.7729117873548973,12.464216709136963,7.299997253417969,1.813727231352855,7.979552984237671
NatureLM,0,model.pos_drop,0.823358126282692,0.043413009771006136,0.8342571556568146,0.17664187371730805,0.043413009771006136,0.16574284434318542,0.37093735828995705,0.12480228105578228,0.3471060246229172,0.5842814782261848,0.21844280001642455,0.5230084955692291,0.3151411049067974,0.13020452129533447,0.26700811088085175,-0.26914037331938745,0.10533414652572776,-0.28440965712070465
