model,layer_idx,top_k,mean_cos_principal_angles,n_bio_frames,n_nonbio_frames
sl_eat_bio_ssl_all,2,5,0.8246486904001713,20000,10000
sl_eat_bio_ssl_all,2,10,0.8271655046393589,20000,10000
sl_eat_bio_ssl_all,2,20,0.9095649678507289,20000,10000
sl_eat_bio_ssl_all,2,50,0.9030625463571974,20000,10000
sl_eat_bio_ssl_all,3,5,0.8079512035821839,20000,10000
sl_eat_bio_ssl_all,3,10,0.8456990941889787,20000,10000
sl_eat_bio_ssl_all,3,20,0.874127216456194,20000,10000
sl_eat_bio_ssl_all,3,50,0.8811139921901465,20000,10000
sl_eat_bio_ssl_all,4,5,0.7486467890053172,20000,10000
sl_eat_bio_ssl_all,4,10,0.7493621421256534,20000,10000
sl_eat_bio_ssl_all,4,20,0.837915328692181,20000,10000
sl_eat_bio_ssl_all,4,50,0.8454423304974918,20000,10000
sl_eat_bio_ssl_all,5,5,0.6819309324219536,20000,10000
sl_eat_bio_ssl_all,5,10,0.7395013547951748,20000,10000
sl_eat_bio_ssl_all,5,20,0.7790519067719656,20000,10000
sl_eat_bio_ssl_all,5,50,0.7963778884672219,20000,10000
sl_eat_bio_ssl_all,6,5,0.683866945015662,20000,10000
sl_eat_bio_ssl_all,6,10,0.6444198959702916,20000,10000
sl_eat_bio_ssl_all,6,20,0.6970152358069645,20000,10000
sl_eat_bio_ssl_all,6,50,0.6997369378409608,20000,10000
sl_eat_bio_ssl_all,7,5,0.5966683166280451,20000,10000
sl_eat_bio_ssl_all,7,10,0.5940423214444328,20000,10000
sl_eat_bio_ssl_all,7,20,0.6173199925016173,20000,10000
sl_eat_bio_ssl_all,7,50,0.6457920123846764,20000,10000
sl_eat_bio_ssl_all,8,5,0.6631327162277982,20000,10000
sl_eat_bio_ssl_all,8,10,0.7257676892406347,20000,10000
sl_eat_bio_ssl_all,8,20,0.6602826175214422,20000,10000
sl_eat_bio_ssl_all,8,50,0.6543603360839042,20000,10000
sl_eat_bio_ssl_all,9,5,0.602311414033912,20000,10000
sl_eat_bio_ssl_all,9,10,0.5797733697058477,20000,10000
sl_eat_bio_ssl_all,9,20,0.6100178254931461,20000,10000
sl_eat_bio_ssl_all,9,50,0.607525769595192,20000,10000
sl_eat_bio_ssl_all,10,5,0.7226080657769888,20000,10000
sl_eat_bio_ssl_all,10,10,0.6648761575927746,20000,10000
sl_eat_bio_ssl_all,10,20,0.6494364665906012,20000,10000
sl_eat_bio_ssl_all,10,50,0.6082342930855618,20000,10000
sl_eat_bio_ssl_all,11,5,0.7972291661557828,20000,10000
sl_eat_bio_ssl_all,11,10,0.7154509260524413,20000,10000
sl_eat_bio_ssl_all,11,20,0.6469776049952245,20000,10000
sl_eat_bio_ssl_all,11,50,0.5977094672544436,20000,10000
sl_eat_bio_ssl_all,12,5,0.8271649083094668,20000,10000
sl_eat_bio_ssl_all,12,10,0.7518553994890402,20000,10000
sl_eat_bio_ssl_all,12,20,0.7360634553591561,20000,10000
sl_eat_bio_ssl_all,12,50,0.7550319778144402,20000,10000
random_init_eat_seed42,0,5,0.8497757924080493,20000,10000
random_init_eat_seed42,0,10,0.9866807850137569,20000,10000
random_init_eat_seed42,0,20,0.905695430090127,20000,10000
random_init_eat_seed42,0,50,0.9359510542050424,20000,10000
random_init_eat_seed42,1,5,0.9888179304592575,20000,10000
random_init_eat_seed42,1,10,0.9908483903624333,20000,10000
