model,layer_idx,metric,n_bootstraps,p05,p50,p95,mean,std
random_init_eat_seed42,11,top1_share,30,0.48324438725380947,0.499461447295733,0.5118263689706918,0.49732039622528246,0.009049476387940632
random_init_eat_seed42,11,top10_share,30,0.8409942545299812,0.84630907016809,0.8520572308133498,0.8462954123929228,0.003620206204060937
random_init_eat_seed42,11,mean_l2_norm,30,27.712796807479243,27.712800419643443,27.712803497617447,27.712800497921787,2.4277328073463892e-06
random_init_eat_seed42,12,cos_class_aves_vs_mammalia,30,0.8840438416506888,0.9081905929943808,0.93719549804618,0.9059524083012376,0.022850546308231932
random_init_eat_seed42,12,cos_order_passer_vs_other_aves,30,0.9466270768705458,0.9651409088555858,0.9785359897615244,0.9631467594967682,0.011539047519666131
random_init_eat_seed42,12,abs_cos_veitch_class_vs_passer_subord,30,0.8033671303794209,0.9323812767878854,0.9772562674777032,0.9169746154046626,0.05372333210981541
random_init_eat_seed42,12,species_separability_ratio,30,0.3088719195828019,0.3700531203739538,0.4368865463124338,0.3711332414880209,0.04625861443040429
random_init_eat_seed42,12,top1_share,30,0.48488459094183173,0.5016081232602758,0.5211593659806585,0.5017997622810569,0.010984761269851437
random_init_eat_seed42,12,top10_share,30,0.8456516682687989,0.8508603836798033,0.857410451360562,0.8509946214600286,0.0036279106133369206
random_init_eat_seed42,12,mean_l2_norm,30,27.712796704849346,27.712802280767832,27.712804315239303,27.71280159757373,2.4079045849907316e-06
sl_eat_all_ssl_all,5,cos_class_aves_vs_mammalia,30,0.5842126467503453,0.6110246890974057,0.6448311560073696,0.6122993778868966,0.01970890771512955
sl_eat_all_ssl_all,5,cos_order_passer_vs_other_aves,30,0.8085000960170569,0.8466833816153295,0.8772080098268495,0.8443327727764695,0.02337676649848291
sl_eat_all_ssl_all,5,abs_cos_veitch_class_vs_passer_subord,30,0.3926422266454262,0.5657719697013438,0.6873733868379395,0.5472101723154079,0.0981920337523725
sl_eat_all_ssl_all,5,species_separability_ratio,30,0.08330705520139511,0.09047748285631962,0.09673649844946713,0.09073567675676046,0.004067369061647387
sl_eat_all_ssl_all,5,top1_share,30,0.05549395928440247,0.05772034767665028,0.06017470332223299,0.05772693996192925,0.0014674768622615893
