cos_class_aves_vs_mammalia,cos_order_passer_vs_other_aves,abs_cos_veitch_class_vs_passer_subord,species_separability_ratio,species_n_with_data,top1_share,top10_share,mean_l2_norm,model,layer_idx,bootstrap,seed
0.6171304740445586,0.8791707450489759,0.28582378128679076,0.0938726141329456,12,0.04978214578921763,0.28982143605558963,7.298366207911794,eat_all,9,9,9051
0.5865342101576277,0.8125883857123934,0.23401634124462573,0.10553283892684634,12,0.04855121235824344,0.28806383303663946,7.300734435684296,eat_all,9,10,10051
0.6160250741422801,0.8955676829811507,0.229801272363205,0.07620192729678497,12,0.05110500689708307,0.2909750908750817,7.297686771021735,eat_all,9,11,11051
0.5666434606137047,0.8896988946296223,0.23373181931440648,0.09514735850902288,12,0.04931783499854663,0.288563231229912,7.300382262609222,eat_all,9,12,12051
0.5811267062841884,0.8892020234071196,0.2796097393682606,0.08472816858644569,12,0.049794978719273714,0.29071288805424117,7.296873935311575,eat_all,9,13,13051
0.5735496984788404,0.9144297173578757,0.2518686665693662,0.08142508736175426,12,0.04911496829292798,0.2885322221948504,7.29881917002409,eat_all,9,14,14051
0.5933561266450222,0.8702311084373798,0.3751561071198948,0.08326167791051044,12,0.04978645695811616,0.29047876643621845,7.298728961025179,eat_all,9,15,15051
0.6435786685515739,0.828243760429405,0.2536488690686709,0.08162741211739957,12,0.050054150990738074,0.2913614875215172,7.29388189947901,eat_all,9,16,16051
0.6484009028441806,0.8271267338082161,0.1627788274169636,0.08522914960169278,12,0.04963447182600131,0.29285461720907885,7.3011817860347215,eat_all,9,17,17051
0.6117330310301464,0.8600149367088804,0.4610429610283736,0.08898121743486286,12,0.04933715085660093,0.2881218247763574,7.300141676003802,eat_all,9,18,18051
0.6173552852528782,0.8480608412123015,0.21622314006783183,0.09425550804630055,12,0.049945359903234406,0.2892508068313035,7.29844780173871,eat_all,9,19,19051
0.6138227144894357,0.8370344351253148,0.23383000644092022,0.07732067329959057,11,0.05018994567648372,0.2887914544125973,7.29751447471651,eat_all,9,20,20051
0.6168055007192007,0.8836565526220094,0.2169858778638311,0.08189215093510348,12,0.049578616866690225,0.2895787841970243,7.299823503552941,eat_all,9,21,21051
