model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,6,WavCaps,Xeno-canto,False,True,False,0.7738073261959995,10
eat_all,6,WavCaps,iNaturalist,False,True,False,0.7870169633838495,10
eat_all,6,Xeno-canto,iNaturalist,True,True,True,0.8445218998964779,10
eat_all,7,Animal Sound Archive,NatureLM,True,False,False,0.6424427061428685,10
eat_all,7,Animal Sound Archive,Watkins,True,True,True,0.46461993325195694,10
eat_all,7,Animal Sound Archive,WavCaps,True,False,False,0.7603108645495659,10
eat_all,7,Animal Sound Archive,Xeno-canto,True,True,True,0.7916739997685491,10
eat_all,7,Animal Sound Archive,iNaturalist,True,True,True,0.79352163490457,10
eat_all,7,NatureLM,Watkins,False,True,False,0.5081580303439504,10
eat_all,7,NatureLM,WavCaps,False,False,True,0.7484509086604041,10
eat_all,7,NatureLM,Xeno-canto,False,True,False,0.602184777567071,10
eat_all,7,NatureLM,iNaturalist,False,True,False,0.5994826673135831,10
eat_all,7,Watkins,WavCaps,True,False,False,0.5467389686756001,10
eat_all,7,Watkins,Xeno-canto,True,True,True,0.48445032534461346,10
eat_all,7,Watkins,iNaturalist,True,True,True,0.4885550663734269,10
eat_all,7,WavCaps,Xeno-canto,False,True,False,0.740196320442398,10
eat_all,7,WavCaps,iNaturalist,False,True,False,0.7421221972749575,10
eat_all,7,Xeno-canto,iNaturalist,True,True,True,0.8273026061580053,10
eat_all,8,Animal Sound Archive,NatureLM,True,False,False,0.714854393059667,10
eat_all,8,Animal Sound Archive,Watkins,True,True,True,0.5489446647834528,10
eat_all,8,Animal Sound Archive,WavCaps,True,False,False,0.7666487947547955,10
eat_all,8,Animal Sound Archive,Xeno-canto,True,True,True,0.826696352658499,10
eat_all,8,Animal Sound Archive,iNaturalist,True,True,True,0.8408263589761807,10
eat_all,8,NatureLM,Watkins,False,True,False,0.5689679042374622,10
eat_all,8,NatureLM,WavCaps,False,False,True,0.7761400715979239,10
