model,layer,n_nulls_applied,pre_multiclass_class_acc,pre_binary_class_acc,pre_order_linear_acc,pre_order_mlp_acc,post_multiclass_class_acc,post_binary_class_acc,post_order_linear_acc,post_order_mlp_acc,binary_class_majority,order_majority,n_class_clips,n_passer,n_other_aves,n_mammalia
eat_bio,5,10,0.5718333333333333,0.8708333333333333,0.7745,,0.5468333333333333,0.8718333333333333,0.725,,0.6666666666666666,0.75,600,100,300,200
eat_bio,5,20,0.5718333333333333,0.8708333333333333,0.7745,,0.501,0.8495,0.699,,0.6666666666666666,0.75,600,100,300,200
eat_bio,5,40,0.5718333333333333,0.8708333333333333,0.7745,,0.36716666666666664,0.7686666666666667,0.6865,,0.6666666666666666,0.75,600,100,300,200
eat_bio,5,46,0.5718333333333333,0.8708333333333333,0.7745,,0.309,0.7195,0.6935,,0.6666666666666666,0.75,600,100,300,200
eat_bio,7,10,0.6243333333333333,0.8936666666666667,0.76875,,0.43866666666666665,0.8531666666666666,0.622,,0.6666666666666666,0.75,600,100,300,200
eat_bio,7,20,0.6243333333333333,0.8936666666666667,0.76875,,0.33916666666666667,0.7196666666666667,0.6,,0.6666666666666666,0.75,600,100,300,200
eat_bio,7,40,0.6243333333333333,0.8936666666666667,0.76875,,0.3333333333333333,0.6666666666666666,0.62425,,0.6666666666666666,0.75,600,100,300,200
eat_bio,7,80,0.6243333333333333,0.8936666666666667,0.76875,,0.3333333333333333,0.6666666666666666,0.66825,,0.6666666666666666,0.75,600,100,300,200
eat_bio,9,10,0.562,0.8491666666666666,0.7515,,0.4295,0.829,0.6275,,0.6666666666666666,0.75,600,100,300,200
eat_bio,9,20,0.562,0.8491666666666666,0.7515,,0.3581666666666667,0.775,0.6195,,0.6666666666666666,0.75,600,100,300,200
eat_bio,9,40,0.562,0.8491666666666666,0.7515,,0.3325,0.6673333333333333,0.63475,,0.6666666666666666,0.75,600,100,300,200
eat_bio,9,80,0.562,0.8491666666666666,0.7515,,0.3333333333333333,0.6666666666666666,0.681,,0.6666666666666666,0.75,600,100,300,200
eat_bio,12,10,0.5063333333333333,0.834,0.74025,,0.4045,0.8116666666666666,0.6955,,0.6666666666666666,0.75,600,100,300,200
eat_bio,12,20,0.5063333333333333,0.834,0.74025,,0.3375,0.7256666666666667,0.704,,0.6666666666666666,0.75,600,100,300,200
eat_bio,12,40,0.5063333333333333,0.834,0.74025,,0.3333333333333333,0.6666666666666666,0.71025,,0.6666666666666666,0.75,600,100,300,200
eat_bio,12,80,0.5063333333333333,0.834,0.74025,,0.3333333333333333,0.6666666666666666,0.7275,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,5,10,0.5683333333333334,0.8533333333333334,0.7765,,0.4251666666666667,0.8123333333333334,0.67025,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,5,20,0.5683333333333334,0.8533333333333334,0.7765,,0.3675,0.7466666666666667,0.67725,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,5,40,0.5683333333333334,0.8533333333333334,0.7765,,0.31616666666666665,0.6688333333333333,0.69425,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,5,80,0.5683333333333334,0.8533333333333334,0.7765,,0.3333333333333333,0.6666666666666666,0.71875,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,7,10,0.6115,0.8896666666666667,0.78225,,0.45216666666666666,0.8428333333333333,0.6005,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,7,20,0.6115,0.8896666666666667,0.78225,,0.3605,0.7431666666666666,0.5875,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,7,40,0.6115,0.8896666666666667,0.78225,,0.3333333333333333,0.6666666666666666,0.597,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,7,80,0.6115,0.8896666666666667,0.78225,,0.3333333333333333,0.6666666666666666,0.65875,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,9,10,0.6043333333333333,0.8751666666666666,0.74675,,0.4485,0.8321666666666667,0.61425,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,9,20,0.6043333333333333,0.8751666666666666,0.74675,,0.3541666666666667,0.7316666666666667,0.6195,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,9,40,0.6043333333333333,0.8751666666666666,0.74675,,0.3333333333333333,0.6666666666666666,0.636,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,9,80,0.6043333333333333,0.8751666666666666,0.74675,,0.3333333333333333,0.6666666666666666,0.6815,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,12,10,0.6211666666666666,0.8688333333333333,0.74925,,0.5035,0.8598333333333333,0.6305,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,12,20,0.6211666666666666,0.8688333333333333,0.74925,,0.4196666666666667,0.8256666666666667,0.61875,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,12,40,0.6211666666666666,0.8688333333333333,0.74925,,0.3436666666666667,0.7661666666666667,0.6325,,0.6666666666666666,0.75,600,100,300,200
sl_eat_all_ssl_all,12,50,0.6211666666666666,0.8688333333333333,0.74925,,0.30933333333333335,0.733,0.63425,,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,5,10,0.6038333333333333,0.8775,0.78725,0.79575,0.437,0.8203333333333334,0.64575,0.73375,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,5,20,0.6038333333333333,0.8775,0.78725,0.79575,0.3431666666666667,0.709,0.6425,0.73175,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,5,40,0.6038333333333333,0.8775,0.78725,0.79575,0.3333333333333333,0.6666666666666666,0.65625,0.707,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,5,80,0.6038333333333333,0.8775,0.78725,0.79575,0.3333333333333333,0.6666666666666666,0.68675,0.70175,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,7,10,0.6465,0.9065,0.7815,0.8215,0.42816666666666664,0.8095,0.53175,0.707,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,7,20,0.6465,0.9065,0.7815,0.8215,0.328,0.691,0.528,0.69175,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,7,40,0.6465,0.9065,0.7815,0.8215,0.3333333333333333,0.6666666666666666,0.5595,0.6805,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,7,80,0.6465,0.9065,0.7815,0.8215,0.3333333333333333,0.6666666666666666,0.611,0.68025,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,9,10,0.7386666666666667,0.9093333333333333,0.807,0.85125,0.4796666666666667,0.8481666666666666,0.479,0.70075,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,9,20,0.7386666666666667,0.9093333333333333,0.807,0.85125,0.3318333333333333,0.6811666666666667,0.474,0.68025,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,9,40,0.7386666666666667,0.9093333333333333,0.807,0.85125,0.3333333333333333,0.6666666666666666,0.51275,0.66225,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,9,80,0.7386666666666667,0.9093333333333333,0.807,0.85125,0.3333333333333333,0.6666666666666666,0.58925,0.67225,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,12,10,0.6753333333333333,0.8921666666666667,0.77375,0.81025,0.43683333333333335,0.838,0.534,0.6745,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,12,20,0.6753333333333333,0.8921666666666667,0.77375,0.81025,0.3858333333333333,0.7966666666666666,0.54425,0.673,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,12,40,0.6753333333333333,0.8921666666666667,0.77375,0.81025,0.33016666666666666,0.664,0.5575,0.69,0.6666666666666666,0.75,600,100,300,200
sl_eat_bio_ssl_all,12,80,0.6753333333333333,0.8921666666666667,0.77375,0.81025,0.3333333333333333,0.6666666666666666,0.6325,0.69625,0.6666666666666666,0.75,600,100,300,200
