model,layer_idx,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
sl_eat_all_ssl_all,11,0.26293957780702976,0.15234267360868015,0.09416181193110608,1.7023428336375166
sl_eat_all_ssl_all,12,0.6139741528370791,0.8193907340579498,0.561179392367333,0.7585841183799312
sl_eat_bio_ssl_all,0,0.289227592292016,0.36881577356448125,0.2878265271549387,0.4378518642904727
sl_eat_bio_ssl_all,1,0.08567091098275019,0.05094263323238332,-0.13319876478240752,0.8411620092692753
sl_eat_bio_ssl_all,2,0.0554702541600821,0.3948013221300428,0.37580294631306915,1.0672218856881162
sl_eat_bio_ssl_all,3,0.04651034130289078,0.08403940014070282,-0.09335204443704195,1.2323624446469548
sl_eat_bio_ssl_all,4,0.040248915883478203,0.1114589640049096,0.1319875532869225,1.383264024791569
sl_eat_bio_ssl_all,5,0.036199162055574385,0.022372991910524723,0.05249944622417447,1.7408470321999963
sl_eat_bio_ssl_all,6,0.032612149650986716,0.13708460299435846,0.25917737091660453,2.209727319447023
sl_eat_bio_ssl_all,7,0.029463630212093934,0.08445482290950704,0.1319048970225656,2.964283324882996
sl_eat_bio_ssl_all,8,0.03737322766908889,0.10397178201760675,0.21525252524237418,3.070259866392313
sl_eat_bio_ssl_all,9,0.041200708629127517,0.12994213974170188,0.275523000273236,3.287368646205669
sl_eat_bio_ssl_all,10,0.05603438777457777,0.430859138049267,0.8645715127227128,3.223111584499683
sl_eat_bio_ssl_all,11,0.09650271582777263,0.3779535321278279,-0.4714568541365912,2.6803109220808974
sl_eat_bio_ssl_all,12,0.08163887764418327,0.03241804057800411,-0.047668316666149166,2.5445886678567406
random_init_eat_seed42,0,0.5942965346623079,0.25948815916525525,0.02386774355826618,0.32386582977394324
random_init_eat_seed42,1,0.5791396262980171,0.06098403762760429,-0.005833407301274192,0.528656697886829
random_init_eat_seed42,2,0.5535182000805222,0.023421226155819437,0.002586289291698045,0.42461989387386756
random_init_eat_seed42,3,0.5343755185168391,0.11297941187452612,-0.013460448853815693,0.289980250352998
random_init_eat_seed42,4,0.5169411557887595,0.1830755981563883,-0.023725807606123864,0.2536417148901054
random_init_eat_seed42,5,0.5038932136586024,0.2590234522837517,-0.0359756347717002,0.2284456013096338
random_init_eat_seed42,6,0.49406862389228645,0.2670835429667482,-0.03954792147020363,0.22979170404209331
random_init_eat_seed42,7,0.4883222478725798,0.3738979232088208,0.05781946825253079,0.2196537066754406
random_init_eat_seed42,8,0.4834697645478015,0.4789141195366975,0.07885295702641076,0.21706453222636937
random_init_eat_seed42,9,0.4871255713271529,0.5735609302851553,0.09577309297504119,0.20969897473880728
random_init_eat_seed42,10,0.4969278751746004,0.6610315991104981,0.11456141134810256,0.2097895663593254
random_init_eat_seed42,11,0.5082081219010235,0.6851562360044049,0.12037593975308479,0.21401386129645533
random_init_eat_seed42,12,0.5215438323505232,0.7495141325240375,0.13568653648719156,0.2139005449204655
