model,,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all
layer_idx,,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12
model,layer_idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat_all,8,0.4119100852109267,0.7037193113203728,0.7694290711860043,0.8907830917490708,0.9291518114549747,0.9470649288553022,0.9576194425036946,0.976358640438482,1.0,0.9820246216064646,0.963891854282734,0.8709915252834503,0.714464783997882,0.3481724825720427,0.648558533180862,0.7632820627027661,0.8301079834211855,0.8960100754353376,0.9287979000087326,0.9308939782730663,0.9402855990483245,0.9451237684231768,0.947624731520717,0.9071214345592447,0.8688973325318878,0.8288021119052106,0.3228460080581439,0.64589713024032,0.7448369131104244,0.8374044460969594,0.8284491592164972,0.8262630707279447,0.8276649116239517,0.8326650627108031,0.8315856022062406,0.8056573397778499,0.7926724724898649,0.6960587316994336,0.532159864643471,0.3655092868707669,0.7045006195253901,0.76182455864714,0.8604961968062188,0.8770056380400031,0.8640425629322239,0.8256114830526325,0.7540128435115366,0.7262610930702663,0.6536132670020968,0.6342363718728442,0.6621473545316504,0.5283255582574665
eat_all,9,0.3895649002223048,0.6943904335237536,0.7503485874262388,0.8707822062350793,0.9118198827716995,0.9354891059924788,0.9455101507013286,0.9605007945531224,0.9820246216064646,1.0,0.9769447035567692,0.8869278730265157,0.7200710428465843,0.32579814770042,0.6340917846272242,0.7514204396003359,0.8199873688243444,0.8890901421452724,0.9224963564356254,0.9182783045591525,0.9284564331180645,0.9386788798762683,0.9454105717829876,0.9087801887476277,0.8727455202975867,0.8245894201291789,0.30233317435854073,0.6385329426085505,0.733858429335717,0.8251897011675289,0.8159995200940964,0.8160681873333071,0.8178691635209139,0.8279879057259991,0.8262740770164133,0.814249102200932,0.8030999187139716,0.6937555340052358,0.5400508199831815,0.3433690545492234,0.6947201555615002,0.743934428940641,0.8379846809295998,0.8584923384085384,0.8540826162177089,0.8183458429333103,0.7501823627497004,0.7227321232306703,0.6613760353048761,0.6437363923393257,0.6658536000010893,0.5320915743083833
eat_all,10,0.38917668469302774,0.6819728424684731,0.7027249098941158,0.8305986636544169,0.8789506270569148,0.9038870141588725,0.913811055669297,0.932998403060402,0.963891854282734,0.9769447035567692,1.0,0.9352458180270506,0.7712436083939123,0.3172255444840065,0.6233391826711575,0.7324404541598283,0.802475843609601,0.8793822244408547,0.9192673352914841,0.9040861021357178,0.9136324955177232,0.9375922034601997,0.9460059344184354,0.9437618432367324,0.9191071578344765,0.8549154080055836,0.29384553566274574,0.6404944019954594,0.7342038720498532,0.8495024086522991,0.8498452890683557,0.8561615120944401,0.8520107990574827,0.8598850071908297,0.8636394458944874,0.8408196341773785,0.8338216751892535,0.7502159838610564,0.5852392257900306,0.33839459861227833,0.6960602457448483,0.7172945513899059,0.8140901238602273,0.8247573216534694,0.8170739119042504,0.7840136682539823,0.7188876113691582,0.6958820106398358,0.6384946851067191,0.6297162890291926,0.6801232655147647,0.5373473310422487
eat_all,11,0.3290457795837537,0.6303684448577164,0.5637080609809734,0.702190666212065,0.7569063560315481,0.779042793705177,0.7812639736524842,0.8134581987122642,0.8709915252834503,0.8869278730265157,0.9352458180270506,1.0,0.840822921061105,0.24397898246260638,0.5777535500164003,0.6515319488510175,0.7203321850188668,0.8103676213957911,0.8487294612829216,0.7994168433803402,0.8111415594270965,0.8640743320298788,0.874520126927285,0.9531021606449214,0.9671698326292366,0.868395388641888,0.222214826351752,0.6201942544783311,0.7020604925407243,0.862215288774985,0.8843083126153105,0.9026643354693795,0.8839999045210772,0.8884502689975287,0.8973175012238201,0.8630772740081697,0.8675385782124693,0.7923610333396596,0.624618364704394,0.271073251886838,0.6614453056776775,0.6114661860226674,0.7076815881733433,0.6920776145270127,0.6716963523317895,0.6421229441909049,0.5867284929202322,0.5743849220641495,0.5379765842415426,0.5384020078186235,0.6474684098303991,0.5154614416364858
eat_all,12,0.24280129525570635,0.5120799687676459,0.42285800855046296,0.5544401763248891,0.5985808869787559,0.6152006925995321,0.6187966137662952,0.6586039871605778,0.714464783997882,0.7200710428465843,0.7712436083939123,0.840822921061105,1.0,0.16076029999663524,0.46661319692567754,0.5199301182297442,0.5678168445305192,0.6485653978328442,0.6908816829886204,0.6393769380413886,0.6520081039818602,0.7157961686688111,0.7253890071528412,0.818944782566059,0.835506064791162,0.7404656645269438,0.14323395241515965,0.5042834095415658,0.5956253043657114,0.726050352261319,0.7522187941146905,0.7752467082088147,0.7677529922976798,0.7716295259985398,0.7820065887325014,0.7371565136582426,0.7373761405400232,0.6914866929754834,0.554225474151322,0.18841993296787118,0.5420887159673246,0.47101026191932477,0.5443380894260414,0.5249857318354088,0.5139575966486624,0.49244987106420246,0.4526695502472427,0.4564003492720558,0.42653586620873174,0.4233818161703192,0.5301675145981616,0.43486305577479817
eat_bio,0,0.9932968586606192,0.6899696210078038,0.5831628192721128,0.4908325838555022,0.46067180962922816,0.39073333411435074,0.35386874184150463,0.3542824870974551,0.3481724825720427,0.32579814770042,0.3172255444840065,0.24397898246260638,0.16076029999663524,1.0,0.6687470511690535,0.6004398694864966,0.5723879343889751,0.5264455849656063,0.4724172389176736,0.5010948905347317,0.4864715997315567,0.4658121019673741,0.4348634346913085,0.3756909813497384,0.33303713379429284,0.2948373239379344,0.9875374096166548,0.6914951286587128,0.5892658887128632,0.4340701290683682,0.3813177566541477,0.3367094148612694,0.3411612765759029,0.31270892324901534,0.29981710050813265,0.27463842113321074,0.26344900902238844,0.2206459426620935,0.13359511071490437,0.9982505034058367,0.6525786334525705,0.5989943544020176,0.5255493950218406,0.495042490887897,0.4461058873244651,0.4031683095602893,0.32908471744260503,0.2950061521985608,0.23033011853587818,0.22230862404095625,0.19506572608787884,0.15471690382372136
eat_bio,1,0.7017176898094356,0.9327821247895911,0.8383117337718249,0.7490878443593472,0.7087677019075452,0.6598604493187433,0.6182912820620515,0.6225662540932828,0.648558533180862,0.6340917846272242,0.6233391826711575,0.5777535500164003,0.46661319692567754,0.6687470511690535,1.0,0.9273488154243532,0.8734491602519295,0.8114215775328714,0.7580190624752126,0.7483185798781968,0.7418361412450514,0.7402501546495711,0.7230678079352898,0.6719544672668992,0.6445113325031085,0.5885342267991396,0.6066265324742286,0.8606533860781447,0.8670736311769504,0.7810716580825808,0.7261425277452905,0.6710762011051327,0.6635785455791908,0.6301482057130662,0.6349458574869065,0.6081872770640594,0.5932781200637299,0.43650105831106534,0.3187833595486528,0.6687943742528822,0.9398453331731618,0.8858550576700143,0.8012197382927466,0.7412018209844906,0.6794303212799878,0.609925980844398,0.5196660271004139,0.4820898171120776,0.4281817335823543,0.40821821055671087,0.4044885370777011,0.3422997297996143
eat_bio,2,0.6426119986606657,0.9074296808002426,0.9075994139712028,0.8564094423843903,0.8205736266749056,0.7767379682747696,0.7381806093777462,0.7402211438589186,0.7632820627027661,0.7514204396003359,0.7324404541598283,0.6515319488510175,0.5199301182297442,0.6004398694864966,0.9273488154243532,1.0,0.9522517170401444,0.9050098612126208,0.8616812832920491,0.8562013398869843,0.8472005956773236,0.8446179071245459,0.829279215161454,0.7504558784417986,0.7107336510846283,0.6705073820132821,0.5458789321347555,0.8067044434457337,0.8539062262350464,0.8095112736263468,0.7532354275992497,0.7058602453026694,0.6968721506077642,0.6752375834151353,0.6766857337874351,0.6594895570893969,0.6409121193931274,0.5121179618718134,0.3852515618871455,0.6033868436556692,0.9052202717985934,0.9316219552720215,0.8913502879447803,0.8429175729817026,0.7788989432587267,0.7023963536615029,0.6031069308054102,0.5649946962420181,0.49523310014602934,0.47913379193306094,0.4793992223151002,0.3830880332620693
eat_bio,3,0.6162188036206148,0.8786771523633236,0.9019227310584625,0.8968021141036984,0.8732999009654188,0.8423224076316862,0.8052035877945024,0.8094664680012689,0.8301079834211855,0.8199873688243444,0.802475843609601,0.7203321850188668,0.5678168445305192,0.5723879343889751,0.8734491602519295,0.9522517170401444,1.0,0.9703377791475178,0.9360207216220243,0.9284764481333692,0.9146287868605478,0.9026365780691151,0.8897368688738307,0.8144870226371462,0.7755267169669918,0.7393559239582657,0.5317715317331175,0.8012364982398419,0.8528038097251874,0.8397938406282196,0.7903001770726024,0.7497175461565474,0.7406478815544166,0.730247286023942,0.7295960184826773,0.7079664715937481,0.6885453726367379,0.5627566112931045,0.4314132855699551,0.5785868406789888,0.875227751164868,0.902705568906376,0.9022930789302016,0.8714872958756874,0.8106697609119689,0.7381661927925425,0.6405825335688674,0.607356359805888,0.5397457668831217,0.5264946997902078,0.5342248140773821,0.4139121631120306
eat_bio,4,0.5811714616296279,0.8386933497381044,0.8585657976772815,0.9147657403692492,0.916605767196468,0.9015213431355813,0.8676996751061994,0.8707366572412699,0.8960100754353376,0.8890901421452724,0.8793822244408547,0.8103676213957911,0.6485653978328442,0.5264455849656063,0.8114215775328714,0.9050098612126208,0.9703377791475178,1.0,0.9851693092626539,0.9675197938809309,0.9567253432672376,0.9524083359959532,0.9441970163992457,0.8924818207804529,0.8562706600739697,0.805905231063326,0.49470067369888016,0.7688065805463016,0.8386039478346691,0.8725165495556413,0.8398471203541721,0.8159559788873652,0.8061606294209793,0.7998486395605215,0.7987607104816596,0.7750114156979829,0.763030320559916,0.6518416515476783,0.5057362462543962,0.5388034245290767,0.833305817176588,0.864048364559295,0.9131957174087606,0.8997468273899536,0.85208162703574,0.7804267041825582,0.6816367679037213,0.6507260746904769,0.580743181935284,0.5724167513221925,0.6036697885103733,0.4645233519788358
