model,layer_idx,layer_name,source_dataset,n_samples,norm_mean,norm_std,norm_median
sl_eat_all_ssl_all,6,model.blocks.5,iNaturalist,100,3.306021213531494,0.564138650894165,3.2130699157714844
sl_eat_all_ssl_all,6,model.blocks.5,All,600,3.7118899822235107,1.0366885662078857,3.423574924468994
sl_eat_all_ssl_all,7,model.blocks.6,Animal Sound Archive,100,3.6485369205474854,0.3724537193775177,3.5849924087524414
sl_eat_all_ssl_all,7,model.blocks.6,NatureLM,100,5.255162239074707,0.9469650387763977,5.291501045227051
sl_eat_all_ssl_all,7,model.blocks.6,Watkins,100,5.456623554229736,0.600534200668335,5.479752540588379
sl_eat_all_ssl_all,7,model.blocks.6,WavCaps,100,4.503913879394531,0.8420878648757935,4.389692306518555
sl_eat_all_ssl_all,7,model.blocks.6,Xeno-canto,100,3.7483489513397217,0.4619271457195282,3.641469955444336
sl_eat_all_ssl_all,7,model.blocks.6,iNaturalist,100,4.017088413238525,0.4933163523674011,3.9607534408569336
sl_eat_all_ssl_all,7,model.blocks.6,All,600,4.438278675079346,0.9615685343742371,4.172440528869629
sl_eat_all_ssl_all,8,model.blocks.7,Animal Sound Archive,100,3.3032121658325195,0.3309260904788971,3.237487316131592
sl_eat_all_ssl_all,8,model.blocks.7,NatureLM,100,4.795914173126221,0.9634178876876831,4.799419403076172
sl_eat_all_ssl_all,8,model.blocks.7,Watkins,100,4.937535285949707,0.594886302947998,4.958080291748047
sl_eat_all_ssl_all,8,model.blocks.7,WavCaps,100,4.116342067718506,0.7519029378890991,4.010911464691162
sl_eat_all_ssl_all,8,model.blocks.7,Xeno-canto,100,3.305389404296875,0.4491753876209259,3.1898505687713623
sl_eat_all_ssl_all,8,model.blocks.7,iNaturalist,100,3.578906297683716,0.4702253043651581,3.4922776222229004
sl_eat_all_ssl_all,8,model.blocks.7,All,600,4.006216526031494,0.9175035357475281,3.736447334289551
sl_eat_all_ssl_all,9,model.blocks.8,Animal Sound Archive,100,2.4595065116882324,0.3236875832080841,2.4168589115142822
sl_eat_all_ssl_all,9,model.blocks.8,NatureLM,100,3.5752673149108887,0.8178714513778687,3.679365873336792
sl_eat_all_ssl_all,9,model.blocks.8,Watkins,100,3.9251160621643066,0.4557027518749237,4.00008487701416
sl_eat_all_ssl_all,9,model.blocks.8,WavCaps,100,3.123202323913574,0.7007638812065125,2.875497341156006
sl_eat_all_ssl_all,9,model.blocks.8,Xeno-canto,100,2.2762246131896973,0.3374064266681671,2.1973085403442383
sl_eat_all_ssl_all,9,model.blocks.8,iNaturalist,100,2.478506326675415,0.38842830061912537,2.354984760284424
sl_eat_all_ssl_all,9,model.blocks.8,All,600,2.972970485687256,0.8188048601150513,2.6870951652526855
sl_eat_all_ssl_all,10,model.blocks.9,Animal Sound Archive,100,1.8988025188446045,0.24310435354709625,1.8714687824249268
sl_eat_all_ssl_all,10,model.blocks.9,NatureLM,100,2.6024105548858643,0.5560973882675171,2.6005234718322754
sl_eat_all_ssl_all,10,model.blocks.9,Watkins,100,2.9047436714172363,0.35108664631843567,2.941817283630371
sl_eat_all_ssl_all,10,model.blocks.9,WavCaps,100,2.3598318099975586,0.46685901284217834,2.2369306087493896
sl_eat_all_ssl_all,10,model.blocks.9,Xeno-canto,100,1.713180422782898,0.25758880376815796,1.6606882810592651
sl_eat_all_ssl_all,10,model.blocks.9,iNaturalist,100,1.847944736480713,0.27950721979141235,1.7849513292312622
sl_eat_all_ssl_all,10,model.blocks.9,All,600,2.2211523056030273,0.5754932165145874,2.0420475006103516
sl_eat_all_ssl_all,11,model.blocks.10,Animal Sound Archive,100,1.6888407468795776,0.20822662115097046,1.6473608016967773
sl_eat_all_ssl_all,11,model.blocks.10,NatureLM,100,1.7340245246887207,0.20639656484127045,1.718064785003662
sl_eat_all_ssl_all,11,model.blocks.10,Watkins,100,1.6813446283340454,0.19208702445030212,1.6556370258331299
sl_eat_all_ssl_all,11,model.blocks.10,WavCaps,100,1.6760410070419312,0.1853061467409134,1.6482601165771484
