model,layer,perm_b,abs_cos
eat_all,12,143,0.21203793869959672
eat_all,12,144,0.3410549898667504
eat_all,12,145,0.05891172761798587
eat_all,12,146,0.5283451243957942
eat_all,12,147,0.42324183730695125
eat_all,12,148,0.5179603369490007
eat_all,12,149,0.1487039871622159
eat_all,12,150,0.032443793391195984
eat_all,12,151,0.13847654332847595
eat_all,12,152,0.029101234051474276
eat_all,12,153,0.5310657450937827
eat_all,12,154,0.15098458310299712
eat_all,12,155,0.22679939680010916
eat_all,12,156,0.0398081931136121
eat_all,12,157,0.19906467932610902
eat_all,12,158,0.1524924528165563
eat_all,12,159,0.0673362845013608
eat_all,12,160,0.03432569645290633
eat_all,12,161,0.0843874620045889
eat_all,12,162,0.23974037097210907
eat_all,12,163,0.6150455431156064
eat_all,12,164,0.1658125414429321
eat_all,12,165,0.36200677844036294
eat_all,12,166,0.5715054275722763
eat_all,12,167,0.09197850999943988
eat_all,12,168,0.14417896242377265
eat_all,12,169,0.060990174214737104
eat_all,12,170,0.4297866166781404
eat_all,12,171,0.2258640384490084
eat_all,12,172,0.5165405812486076
eat_all,12,173,0.5410202529585215
eat_all,12,174,0.15941087932821427
eat_all,12,175,0.22650178969250945
eat_all,12,176,0.42011004060365986
eat_all,12,177,0.48446933191022035
eat_all,12,178,0.3698422216589554
eat_all,12,179,0.1346127112166213
eat_all,12,180,0.2744715515285851
eat_all,12,181,0.10323355823574551
eat_all,12,182,0.3382211838565267
eat_all,12,183,0.5239797418055138
eat_all,12,184,0.08607344681804438
eat_all,12,185,0.3134088278047608
eat_all,12,186,0.045198092277471125
eat_all,12,187,0.6529190989510008
eat_all,12,188,0.21445835486387335
eat_all,12,189,0.09191397706194186
eat_all,12,190,0.20685517849985174
eat_all,12,191,0.5231782614549225
eat_all,12,192,0.5434262523241983
eat_all,12,193,0.17390298476393676
eat_all,12,194,0.06168161738904853
eat_all,12,195,0.3545376331597436
eat_all,12,196,0.03412375287095368
eat_all,12,197,0.2525266298628648
eat_all,12,198,0.3485846147827289
eat_all,12,199,0.0892630740408887
eat_bio,7,0,0.07332744391979905
eat_bio,7,1,0.1656870589291058
eat_bio,7,2,0.050666612040488626
eat_bio,7,3,0.08408576840792113
eat_bio,7,4,0.021599098097306292
eat_bio,7,5,0.028157283900004538
eat_bio,7,6,0.4669252807023344
eat_bio,7,7,0.18469140947338142
eat_bio,7,8,0.3324340413233303
eat_bio,7,9,0.3409942878271748
eat_bio,7,10,0.08162365400986252
eat_bio,7,11,0.0039296950491199125
eat_bio,7,12,0.40852923280806774
eat_bio,7,13,0.0664942530716978
eat_bio,7,14,0.27950179821610865
eat_bio,7,15,0.29316317021416727
