model,layer_idx,source,n_clips,n_frames,effective_rank,participation_ratio,mle_id_k20,is_bio
sl_eat_all_ssl_all,9,WavCaps,35,1750,132.31804622486206,63.41957926899957,6.01620674913771,False
sl_eat_all_ssl_all,9,Xeno-canto,322,16100,164.31600901812158,68.3141346099208,9.913530823553621,True
sl_eat_all_ssl_all,9,iNaturalist,115,5750,149.99798901303947,63.369545702925954,7.269591175102416,True
sl_eat_all_ssl_all,10,Animal Sound Archive,10,500,65.23562515908225,32.09238909260325,4.28337910501173,True
sl_eat_all_ssl_all,10,NatureLM,165,8250,106.82378039967944,41.67425790963137,4.572902985821614,False
sl_eat_all_ssl_all,10,Watkins,153,7650,116.39001158150865,48.27374200623295,1.8015329663886304,True
sl_eat_all_ssl_all,10,WavCaps,35,1750,114.44560153186244,51.01614075529915,5.815404904360411,False
sl_eat_all_ssl_all,10,Xeno-canto,322,16100,133.10211839495813,45.44386085621472,9.735486637922305,True
sl_eat_all_ssl_all,10,iNaturalist,115,5750,119.9152242571737,42.543662837711835,7.502806880197378,True
sl_eat_all_ssl_all,11,Animal Sound Archive,10,500,38.0764861110378,11.47833035284992,5.3399863163322845,True
sl_eat_all_ssl_all,11,NatureLM,165,8250,43.168949062475136,9.893391994728107,4.509719608741915,False
sl_eat_all_ssl_all,11,Watkins,153,7650,72.37011175428155,20.03944690752517,1.869971014387841,True
sl_eat_all_ssl_all,11,WavCaps,35,1750,53.3767546385063,12.180886747391549,5.5821165827091,False
sl_eat_all_ssl_all,11,Xeno-canto,322,16100,49.046945826881974,10.114522554291206,9.593460784106803,True
sl_eat_all_ssl_all,11,iNaturalist,115,5750,47.91407576362876,10.355886433337572,7.196034230224232,True
sl_eat_all_ssl_all,12,Animal Sound Archive,10,500,10.162843254312264,3.081114181867046,5.123883837408735,True
sl_eat_all_ssl_all,12,NatureLM,165,8250,7.043295172691016,2.079666929512839,4.597638480224745,False
sl_eat_all_ssl_all,12,Watkins,153,7650,21.362466379748938,4.785072849514974,1.9111750623841572,True
sl_eat_all_ssl_all,12,WavCaps,35,1750,9.027791702368162,2.4262323731269295,5.520515407624656,False
sl_eat_all_ssl_all,12,Xeno-canto,322,16100,9.363361405923463,2.345696003548608,9.507209139478645,True
sl_eat_all_ssl_all,12,iNaturalist,115,5750,7.506539346174447,2.1100524997553465,7.530704168418859,True
sl_eat_bio_ssl_all,0,Animal Sound Archive,10,500,15.575399611622887,6.027456624517556,8.197027360812093,True
sl_eat_bio_ssl_all,0,NatureLM,165,8250,18.537111885845853,7.617426261860215,1.9102768507288028,False
sl_eat_bio_ssl_all,0,Watkins,153,7650,16.110869002569057,5.872366825209475,2.4285276948315055,True
sl_eat_bio_ssl_all,0,WavCaps,35,1750,17.09325793973336,6.83583213958186,7.944967746714735,False
sl_eat_bio_ssl_all,0,Xeno-canto,322,16100,15.74707666603411,5.569790049549452,14.236435107813335,True
sl_eat_bio_ssl_all,0,iNaturalist,115,5750,15.945650834620654,5.806989667378612,7.67468881609698,True
sl_eat_bio_ssl_all,1,Animal Sound Archive,10,500,49.10770920369396,24.523235274685874,11.981321100075602,True
sl_eat_bio_ssl_all,1,NatureLM,165,8250,56.060616895664666,27.353406698381217,5.708667089501972,False
sl_eat_bio_ssl_all,1,Watkins,153,7650,48.767387069277554,19.440400111767875,2.25341529334292,True
sl_eat_bio_ssl_all,1,WavCaps,35,1750,58.11145158083977,28.436102033287042,12.132088776972049,False
sl_eat_bio_ssl_all,1,Xeno-canto,322,16100,60.174886894069985,29.10994106177335,10.29936302940346,True
