model,layer_idx,level,group,n_clips,effective_rank,participation_ratio,mle_id_k20,n_frames
eat_bio,4,order,other-Aves,64,112.24789375851924,58.3340507847712,12.366006051640328,3200
eat_bio,5,class,Aves,271,129.81175684501574,60.59413124252251,14.612778974435356,13550
eat_bio,5,class,Mammalia,119,110.29243110903576,50.13825546358465,2.4999050602308133,5950
eat_bio,5,order,Passeriformes,207,126.29150896358948,58.853877952486435,14.210779618426692,10350
eat_bio,5,order,other-Aves,64,126.46797457143839,61.240229241834044,12.909826122755957,3200
eat_bio,6,class,Aves,271,188.3028100427403,76.01077214090414,15.753322226840982,13550
eat_bio,6,class,Mammalia,119,144.37180201546187,61.25668700458677,2.4397390386549787,5950
eat_bio,6,order,Passeriformes,207,182.4417081317012,72.72414688978863,14.624839290210115,10350
eat_bio,6,order,other-Aves,64,177.64139736444164,77.57904928423262,11.983611392383015,3200
eat_bio,7,class,Aves,271,194.82773208849446,75.33769593552869,14.255372694643894,13550
eat_bio,7,class,Mammalia,119,149.08980258004613,61.722261558995925,2.373460520387717,5950
eat_bio,7,order,Passeriformes,207,187.9640731883802,71.85746833835051,13.044965104267193,10350
eat_bio,7,order,other-Aves,64,179.56967341008564,75.76051724245261,11.23557303583984,3200
eat_bio,8,class,Aves,271,159.85596735327036,61.62890465156717,11.565852356155977,13550
eat_bio,8,class,Mammalia,119,117.48943245978897,47.325557931489364,2.212309779553116,5950
eat_bio,8,order,Passeriformes,207,154.20581110329738,59.16256568292858,10.609210761667752,10350
eat_bio,8,order,other-Aves,64,146.97816403266575,61.3103084378425,9.29840737524136,3200
eat_bio,9,class,Aves,271,157.82225923343498,64.67688150068959,10.62485518095032,13550
eat_bio,9,class,Mammalia,119,105.2699208344319,44.397770304055456,2.1909174079327807,5950
eat_bio,9,order,Passeriformes,207,151.60609101878495,61.62268518944033,9.770843138007898,10350
eat_bio,9,order,other-Aves,64,145.74888241521808,64.70106283678568,8.585538616450354,3200
eat_bio,10,class,Aves,271,173.1458889987649,69.3969291787817,10.603669911284408,13550
eat_bio,10,class,Mammalia,119,102.53337239152987,41.49791619635763,2.1918192726276216,5950
eat_bio,10,order,Passeriformes,207,166.81055050809545,66.53826310132222,9.847393772387887,10350
eat_bio,10,order,other-Aves,64,156.33149204680583,67.47129417562385,8.470752780600632,3200
eat_bio,11,class,Aves,271,190.56057103775981,64.02957392578601,11.473847561006172,13550
eat_bio,11,class,Mammalia,119,110.94179716015474,41.01705845624302,2.2146341285942253,5950
eat_bio,11,order,Passeriformes,207,184.53406249038264,61.58817479798155,10.701998198385803,10350
eat_bio,11,order,other-Aves,64,172.02785961517986,62.92608513963051,9.471843929431854,3200
eat_bio,12,class,Aves,271,195.43958459722805,34.64759942559225,16.037711256750804,13550
eat_bio,12,class,Mammalia,119,114.39270739593402,25.81132827009615,2.5034648533328014,5950
eat_bio,12,order,Passeriformes,207,189.09495657104526,34.18112228742056,14.689232384210658,10350
eat_bio,12,order,other-Aves,64,175.32906965809636,34.69836277642683,13.927048168150202,3200
sl_eat_all_ssl_all,0,class,Aves,271,44.18050274807119,19.309692964956835,13.68539821554645,13550
sl_eat_all_ssl_all,0,class,Mammalia,119,42.323916914937676,19.999921822812077,2.8567966960209605,5950
sl_eat_all_ssl_all,0,order,Passeriformes,207,43.67877831912574,18.88667157555743,13.261476554916587,10350
sl_eat_all_ssl_all,0,order,other-Aves,64,45.092675569530705,20.575499263440502,9.236475129640276,3200
sl_eat_all_ssl_all,1,class,Aves,271,68.8361882393886,39.77374240360265,13.468812352501264,13550
sl_eat_all_ssl_all,1,class,Mammalia,119,62.44508725990333,32.38723732575276,2.5886604356087934,5950
sl_eat_all_ssl_all,1,order,Passeriformes,207,68.1955307796052,39.22167118341244,13.021204532259027,10350
sl_eat_all_ssl_all,1,order,other-Aves,64,69.03665227807176,40.562450825486124,13.74388593077523,3200
sl_eat_all_ssl_all,2,class,Aves,271,81.67187766207101,47.160607163497296,15.314788057517765,13550
sl_eat_all_ssl_all,2,class,Mammalia,119,74.1687021246434,39.112273279548596,2.733028967682072,5950
sl_eat_all_ssl_all,2,order,Passeriformes,207,80.60007721987871,46.40595455784146,15.159504865031508,10350
sl_eat_all_ssl_all,2,order,other-Aves,64,82.03524124343419,47.96326245948343,15.110051634270972,3200
sl_eat_all_ssl_all,3,class,Aves,271,105.25737047191355,60.808476391307636,17.90689318962851,13550
sl_eat_all_ssl_all,3,class,Mammalia,119,93.18059820056006,49.809864860995724,2.6256762222955774,5950
sl_eat_all_ssl_all,3,order,Passeriformes,207,103.49201141273998,59.27081421182074,17.462802450622522,10350
sl_eat_all_ssl_all,3,order,other-Aves,64,105.1784871725265,62.09935099248499,16.906516301866578,3200
sl_eat_all_ssl_all,4,class,Aves,271,136.00214000579786,72.1757897604087,19.07047483577929,13550
sl_eat_all_ssl_all,4,class,Mammalia,119,111.14815786089855,53.56662042821654,2.556397784459152,5950
sl_eat_all_ssl_all,4,order,Passeriformes,207,133.02606172474563,69.62909081085454,18.604337060599494,10350
sl_eat_all_ssl_all,4,order,other-Aves,64,134.98016841658404,74.29586603439166,15.939245498894119,3200
sl_eat_all_ssl_all,5,class,Aves,271,168.38422325132268,83.22270323145129,18.285324707967785,13550
sl_eat_all_ssl_all,5,class,Mammalia,119,128.917349574839,54.61326393366737,2.524273866779622,5950
sl_eat_all_ssl_all,5,order,Passeriformes,207,163.5121203028062,79.55170048583824,17.362034983346476,10350
sl_eat_all_ssl_all,5,order,other-Aves,64,163.86211715123576,84.8199093322015,13.903700885086762,3200
sl_eat_all_ssl_all,6,class,Aves,271,191.55231843670057,90.41989078385849,17.05787661921193,13550
sl_eat_all_ssl_all,6,class,Mammalia,119,134.5016478844268,53.614700482963876,2.4619148284665524,5950
sl_eat_all_ssl_all,6,order,Passeriformes,207,186.86880153675145,86.83625074469757,15.925871188754675,10350
sl_eat_all_ssl_all,6,order,other-Aves,64,178.61438231715704,88.78107309969135,13.150204999732136,3200
sl_eat_all_ssl_all,7,class,Aves,271,211.39756930771088,98.30211973552878,16.606955514330398,13550
sl_eat_all_ssl_all,7,class,Mammalia,119,142.62450225801686,57.58971315133774,2.395120887714014,5950
sl_eat_all_ssl_all,7,order,Passeriformes,207,205.03388853421743,93.40184783581806,15.174269206636215,10350
sl_eat_all_ssl_all,7,order,other-Aves,64,191.01487842940298,94.82775122647624,12.729934639372926,3200
sl_eat_all_ssl_all,8,class,Aves,271,153.81919893544674,65.83944915412759,12.613229395441786,13550
sl_eat_all_ssl_all,8,class,Mammalia,119,116.06263666962566,48.43902225989336,2.257694358888721,5950
sl_eat_all_ssl_all,8,order,Passeriformes,207,148.2271729636069,62.45217699615791,11.691274787177159,10350
sl_eat_all_ssl_all,8,order,other-Aves,64,145.14933811966168,67.58519833119071,9.853198294368829,3200
sl_eat_all_ssl_all,9,class,Aves,271,168.3092316483569,71.06914582124352,9.265484843829583,13550
sl_eat_all_ssl_all,9,class,Mammalia,119,134.03812495164104,58.09684410350199,1.9982839636368774,5950
sl_eat_all_ssl_all,9,order,Passeriformes,207,160.65669104757714,67.39830318093578,8.19367598772529,10350
sl_eat_all_ssl_all,9,order,other-Aves,64,149.23926418927425,68.75956128834785,7.195420417676685,3200
sl_eat_all_ssl_all,10,class,Aves,271,137.57327891983348,47.9186123888543,8.786684345189702,13550
sl_eat_all_ssl_all,10,class,Mammalia,119,126.25377296338341,54.18004237018298,2.001262089244997,5950
sl_eat_all_ssl_all,10,order,Passeriformes,207,129.87793897558174,45.32985720888539,7.950313415262162,10350
sl_eat_all_ssl_all,10,order,other-Aves,64,124.90883109459658,49.54924342271386,6.5459802182639,3200
sl_eat_all_ssl_all,11,class,Aves,271,52.068515287242825,10.78201610646594,8.947345279376439,13550
sl_eat_all_ssl_all,11,class,Mammalia,119,72.15304481567934,18.244415951824198,2.064577200337871,5950
sl_eat_all_ssl_all,11,order,Passeriformes,207,49.11763318143604,10.493003783874626,7.944185681733778,10350
sl_eat_all_ssl_all,11,order,other-Aves,64,52.7648512038465,11.460697242551358,6.979773385413416,3200
sl_eat_all_ssl_all,12,class,Aves,271,9.398162910527223,2.3519164641971075,8.861378882493792,13550
sl_eat_all_ssl_all,12,class,Mammalia,119,19.83624678949458,4.400538973259201,2.1882105212742853,5950
sl_eat_all_ssl_all,12,order,Passeriformes,207,8.86650624657156,2.2960242066739833,7.922217805904139,10350
sl_eat_all_ssl_all,12,order,other-Aves,64,9.95854433386918,2.498029673050374,6.626498927221551,3200
sl_eat_bio_ssl_all,0,class,Aves,271,16.414601199403286,5.840547556876576,15.170243271703882,13550
sl_eat_bio_ssl_all,0,class,Mammalia,119,16.508887385254713,6.115558788306709,2.9554724797470366,5950
sl_eat_bio_ssl_all,0,order,Passeriformes,207,16.198138029615464,5.784581896687558,14.528012080380652,10350
sl_eat_bio_ssl_all,0,order,other-Aves,64,16.929693060753678,5.99685932126958,9.067402482388433,3200
sl_eat_bio_ssl_all,1,class,Aves,271,61.08124527848453,29.70999200964035,10.865171401955235,13550
sl_eat_bio_ssl_all,1,class,Mammalia,119,53.02366515888034,22.47888248974376,2.5264644519583297,5950
sl_eat_bio_ssl_all,1,order,Passeriformes,207,60.555709251828944,29.51986175419443,10.490681446648225,10350
sl_eat_bio_ssl_all,1,order,other-Aves,64,60.99778283728506,29.75342278091764,11.9581076157201,3200
sl_eat_bio_ssl_all,2,class,Aves,271,100.31919069981465,55.844480328357655,16.72744246892176,13550
sl_eat_bio_ssl_all,2,class,Mammalia,119,92.31190173240047,48.21428339875195,2.7301022075275987,5950
sl_eat_bio_ssl_all,2,order,Passeriformes,207,98.68331786089547,54.7725808168226,16.486609144902143,10350
sl_eat_bio_ssl_all,2,order,other-Aves,64,100.49864348540355,56.9459370185339,15.657443341051495,3200
sl_eat_bio_ssl_all,3,class,Aves,271,128.55421102118865,69.25822420114204,18.048591957861948,13550
sl_eat_bio_ssl_all,3,class,Mammalia,119,118.55088001288517,60.74255152812077,2.5766649755825553,5950
sl_eat_bio_ssl_all,3,order,Passeriformes,207,125.84462620955877,67.3136775616099,17.417624433114266,10350
sl_eat_bio_ssl_all,3,order,other-Aves,64,127.61145365328476,70.6000069179465,15.80981658649322,3200
