model,layer_idx,n_aves,n_mammalia,n_passer,n_other_aves,parent_axis_norm,passer_subord_axis_norm,abs_cos_parent_vs_passer_subord,other_aves_subord_axis_norm,abs_cos_parent_vs_other_aves_subord,abs_cos_passer_vs_other_aves
sl_eat_bio_ssl_all,8,271,119,207,64,2.532331983562596,0.22835271419354408,0.2649953083948917,0.7385780360834062,0.264995629308892,0.9999999998761855
sl_eat_bio_ssl_all,9,271,119,207,64,2.363627418353412,0.22001400220972508,0.13598773604694075,0.7116074634442723,0.1359869518280031,0.9999999997428128
sl_eat_bio_ssl_all,10,271,119,207,64,1.958493201654166,0.16929642218993746,0.3580083449285111,0.5475682967533207,0.35801046401205616,0.9999999998751407
sl_eat_bio_ssl_all,11,271,119,207,64,2.2172573812634533,0.1399540875619246,0.3056968585827467,0.4526636996917881,0.30569807933638443,0.9999999996467552
sl_eat_bio_ssl_all,12,271,119,207,64,5.328318758432379,0.44213437211952755,0.0737760109866288,1.4300280450355116,0.07377942342580515,0.9999999994389204
random_init_eat_seed42,0,271,119,207,64,6.745725566600228,0.5589580704917011,0.9833693599951439,1.8078788884458903,0.9833690728620867,0.9999999996339004
random_init_eat_seed42,1,271,119,207,64,9.794556748587384,0.579336275587443,0.9363088853026068,1.8737907804142673,0.936308662478146,0.9999999996589856
random_init_eat_seed42,2,271,119,207,64,11.866497872725425,0.6493079398213,0.9447645755490018,2.1001026007418693,0.944764252968285,0.9999999996776522
random_init_eat_seed42,3,271,119,207,64,13.325561858157057,0.7140987372197161,0.9394899350030882,2.309664633538262,0.9394901535572242,0.9999999997430228
random_init_eat_seed42,4,271,119,207,64,14.404656128817702,0.764055080215366,0.9323007234562362,2.471241939372731,0.9323008859613617,0.9999999997365997
random_init_eat_seed42,5,271,119,207,64,15.46538352892017,0.7669540374957164,0.9431832096393234,2.480615230438932,0.9431834686332674,0.9999999996757242
random_init_eat_seed42,6,271,119,207,64,16.611726981572204,0.8026867217244968,0.9517834658379086,2.5961859288099842,0.9517830669432216,0.9999999996731413
random_init_eat_seed42,7,271,119,207,64,17.661811071471003,0.8766510222810407,0.9357742044015183,2.8354147274799404,0.9357743773038514,0.9999999997584788
random_init_eat_seed42,8,271,119,207,64,18.6995454083959,0.9348562537868274,0.9318101594584626,3.023670906308285,0.9318100539584888,0.9999999997579805
random_init_eat_seed42,9,271,119,207,64,19.14717144887724,0.8785781551505912,0.9573866404277328,2.84165028359145,0.9573867436812512,0.9999999997533933
random_init_eat_seed42,10,271,119,207,64,20.111114364863546,0.9274540224139255,0.9577124819720292,2.999734952794879,0.9577123489287268,0.9999999996880338
random_init_eat_seed42,11,271,119,207,64,20.425399914537227,0.946628923207836,0.9530217327314928,3.061752120383979,0.9530217109416915,0.9999999997357834
random_init_eat_seed42,12,271,119,207,64,21.19574518107834,0.9612147083617654,0.9565082477307968,3.1089291283839096,0.9565078876999343,0.9999999996984168
