model,layer_idx,layer_name,n,norm_mean,norm_std,norm_p05,norm_p50,norm_p95,norm_min,norm_max
eat_bio,2,model.blocks.1,600,2.1290483474731445,0.3828301727771759,1.7997456789016724,1.989486813545227,2.949082136154175,1.7111657857894897,4.045054912567139
eat_bio,3,model.blocks.2,600,2.3845860958099365,0.28781887888908386,2.098074197769165,2.288780689239502,2.98252534866333,2.042830467224121,3.766672134399414
eat_bio,4,model.blocks.3,600,2.3823962211608887,0.4333302080631256,1.9039257764816284,2.247978687286377,3.2127883434295654,1.7870224714279175,4.198716640472412
eat_bio,5,model.blocks.4,600,2.9404549598693848,0.41359633207321167,2.4910879135131836,2.828749418258667,3.7011585235595703,2.352414846420288,4.832169055938721
eat_bio,6,model.blocks.5,600,3.0972180366516113,0.3911937177181244,2.637842893600464,3.008599042892456,3.8946897983551025,2.497865676879883,4.70644474029541
eat_bio,7,model.blocks.6,600,3.5933170318603516,0.39854171872138977,3.148690938949585,3.4978628158569336,4.380352020263672,2.9944205284118652,5.3958892822265625
eat_bio,8,model.blocks.7,600,3.2669026851654053,0.3752497136592865,2.8713905811309814,3.1524362564086914,3.993593215942383,2.711639404296875,4.938363075256348
eat_bio,9,model.blocks.8,600,2.7884833812713623,0.33477386832237244,2.4423327445983887,2.684098720550537,3.497504234313965,2.3308963775634766,4.360229969024658
eat_bio,10,model.blocks.9,600,2.3051302433013916,0.36280524730682373,1.956032156944275,2.1550979614257812,3.085895538330078,1.8849629163742065,3.792675256729126
eat_bio,11,model.blocks.10,600,2.430403232574463,0.3062592148780823,2.1262757778167725,2.311758041381836,3.073857545852661,2.0500781536102295,3.6888744831085205
eat_bio,12,model.blocks.11,600,3.919661521911621,0.4947034418582916,3.193399667739868,3.886963129043579,4.77482795715332,2.651555061340332,5.744528293609619
sl_eat_all_ssl_all,0,model.pos_drop,600,0.43790802359580994,0.1811680942773819,0.21705268323421478,0.4021417498588562,0.8137754797935486,0.1602109968662262,1.006298542022705
sl_eat_all_ssl_all,1,model.blocks.0,600,2.2765002250671387,0.767970860004425,1.401605486869812,2.036281108856201,3.87738299369812,1.0987372398376465,4.708852291107178
sl_eat_all_ssl_all,2,model.blocks.1,600,2.451777696609497,0.70317542552948,1.6002824306488037,2.25199031829834,3.8656539916992188,1.3063801527023315,4.697291851043701
sl_eat_all_ssl_all,3,model.blocks.2,600,2.391428232192993,0.6955333352088928,1.5621042251586914,2.1940736770629883,3.760869264602661,1.2760027647018433,4.564405918121338
sl_eat_all_ssl_all,4,model.blocks.3,600,3.4412264823913574,1.102705478668213,2.1218619346618652,3.1147642135620117,5.560932636260986,1.6506929397583008,6.86349630355835
sl_eat_all_ssl_all,5,model.blocks.4,600,3.6028523445129395,1.1063960790634155,2.276395797729492,3.29268479347229,5.701669692993164,1.9304243326187134,6.639451503753662
sl_eat_all_ssl_all,6,model.blocks.5,600,3.711879014968872,1.036691427230835,2.4755780696868896,3.4234468936920166,5.530980110168457,2.1964871883392334,6.717215538024902
sl_eat_all_ssl_all,7,model.blocks.6,600,4.4382805824279785,0.961574912071228,3.2637133598327637,4.172258377075195,6.1778082847595215,2.9537858963012695,7.651097297668457
sl_eat_all_ssl_all,8,model.blocks.7,600,4.006223678588867,0.9175005555152893,2.924617290496826,3.7365427017211914,5.696168899536133,2.450472116470337,7.007404327392578
sl_eat_all_ssl_all,9,model.blocks.8,600,2.972970962524414,0.8188073039054871,2.0472412109375,2.687046527862549,4.355719566345215,1.8003517389297485,5.886781692504883
sl_eat_all_ssl_all,10,model.blocks.9,600,2.2211546897888184,0.5754947662353516,1.5379164218902588,2.042095899581909,3.279714345932007,1.365106463432312,4.170914173126221
sl_eat_all_ssl_all,11,model.blocks.10,600,1.720492959022522,0.2074412703514099,1.40376877784729,1.7092456817626953,2.062587022781372,1.275926947593689,2.373356819152832
sl_eat_all_ssl_all,12,model.blocks.11,600,5.089099884033203,1.4303152561187744,3.7815165519714355,4.487863540649414,8.21955680847168,3.458163261413574,10.06705093383789
