model,layer_a,layer_b,mean_cos_principal_angles,k
sl_eat_all_ssl_all,3,5,0.5809511715367728,10
sl_eat_all_ssl_all,3,6,0.5130812906883067,10
sl_eat_all_ssl_all,3,7,0.42128525342721046,10
sl_eat_all_ssl_all,3,8,0.4628070749320076,10
sl_eat_all_ssl_all,3,9,0.35785775094598626,10
sl_eat_all_ssl_all,3,10,0.3171036146718581,10
sl_eat_all_ssl_all,3,11,0.28293632086588183,10
sl_eat_all_ssl_all,3,12,0.10465912677834033,10
sl_eat_all_ssl_all,4,5,0.7223569219087205,10
sl_eat_all_ssl_all,4,6,0.6171245781389546,10
sl_eat_all_ssl_all,4,7,0.5005625985908827,10
sl_eat_all_ssl_all,4,8,0.5276995048106912,10
sl_eat_all_ssl_all,4,9,0.40399333610732346,10
sl_eat_all_ssl_all,4,10,0.3371270242061366,10
sl_eat_all_ssl_all,4,11,0.296091300868947,10
sl_eat_all_ssl_all,4,12,0.10160389387878369,10
sl_eat_all_ssl_all,5,6,0.7873466374915882,10
sl_eat_all_ssl_all,5,7,0.6122424228142493,10
sl_eat_all_ssl_all,5,8,0.6040705880897266,10
sl_eat_all_ssl_all,5,9,0.44764992788607494,10
sl_eat_all_ssl_all,5,10,0.36339230208648166,10
sl_eat_all_ssl_all,5,11,0.314293069174405,10
sl_eat_all_ssl_all,5,12,0.10656539634036055,10
sl_eat_all_ssl_all,6,7,0.7268634745192647,10
sl_eat_all_ssl_all,6,8,0.6700565194798628,10
sl_eat_all_ssl_all,6,9,0.4642736070139174,10
sl_eat_all_ssl_all,6,10,0.378402068798967,10
sl_eat_all_ssl_all,6,11,0.31939963477179184,10
sl_eat_all_ssl_all,6,12,0.11268261470246957,10
sl_eat_all_ssl_all,7,8,0.7641982774577298,10
sl_eat_all_ssl_all,7,9,0.4956889586172227,10
sl_eat_all_ssl_all,7,10,0.3961905936160047,10
sl_eat_all_ssl_all,7,11,0.32862183250815413,10
sl_eat_all_ssl_all,7,12,0.12562513021071126,10
sl_eat_all_ssl_all,8,9,0.6025769249740082,10
sl_eat_all_ssl_all,8,10,0.47351867699123174,10
sl_eat_all_ssl_all,8,11,0.3880825670334807,10
sl_eat_all_ssl_all,8,12,0.12791521671131934,10
sl_eat_all_ssl_all,9,10,0.6434782866924231,10
sl_eat_all_ssl_all,9,11,0.44333629271245617,10
sl_eat_all_ssl_all,9,12,0.1355694473725021,10
sl_eat_all_ssl_all,10,11,0.5609369525626824,10
sl_eat_all_ssl_all,10,12,0.17154109895950032,10
sl_eat_all_ssl_all,11,12,0.20904585839503825,10
sl_eat_bio_ssl_all,0,1,0.2678336908636508,10
sl_eat_bio_ssl_all,0,2,0.14805697106560506,10
sl_eat_bio_ssl_all,0,3,0.14142747735999983,10
sl_eat_bio_ssl_all,0,4,0.10567989144041379,10
sl_eat_bio_ssl_all,0,5,0.09980112878138256,10
sl_eat_bio_ssl_all,0,6,0.09978524983370689,10
sl_eat_bio_ssl_all,0,7,0.11209106268058659,10
sl_eat_bio_ssl_all,0,8,0.09040920942313917,10
sl_eat_bio_ssl_all,0,9,0.08415749519684512,10
sl_eat_bio_ssl_all,0,10,0.10008227018420693,10
sl_eat_bio_ssl_all,0,11,0.09777437735379593,10
sl_eat_bio_ssl_all,0,12,0.09882776015835704,10
sl_eat_bio_ssl_all,1,2,0.5322247860502589,10
sl_eat_bio_ssl_all,1,3,0.36113982275804607,10
sl_eat_bio_ssl_all,1,4,0.27355172613557305,10
sl_eat_bio_ssl_all,1,5,0.21591871276929533,10
sl_eat_bio_ssl_all,1,6,0.17957453760842765,10
sl_eat_bio_ssl_all,1,7,0.15202215318934575,10
sl_eat_bio_ssl_all,1,8,0.15520004648262614,10
sl_eat_bio_ssl_all,1,9,0.13569183692737305,10
sl_eat_bio_ssl_all,1,10,0.13310184246454357,10
sl_eat_bio_ssl_all,1,11,0.12049914922421427,10
sl_eat_bio_ssl_all,1,12,0.09676776352941752,10
sl_eat_bio_ssl_all,2,3,0.6850166290099577,10
sl_eat_bio_ssl_all,2,4,0.49728149236133323,10
sl_eat_bio_ssl_all,2,5,0.3857268843648004,10
sl_eat_bio_ssl_all,2,6,0.27892147096963027,10
sl_eat_bio_ssl_all,2,7,0.21434867830410304,10
sl_eat_bio_ssl_all,2,8,0.20816620758990823,10
sl_eat_bio_ssl_all,2,9,0.17531776453150166,10
sl_eat_bio_ssl_all,2,10,0.17874033365926387,10
sl_eat_bio_ssl_all,2,11,0.17651567393114534,10
sl_eat_bio_ssl_all,2,12,0.10684316299133352,10
sl_eat_bio_ssl_all,3,4,0.6898535338750645,10
sl_eat_bio_ssl_all,3,5,0.5148342129080842,10
sl_eat_bio_ssl_all,3,6,0.3479061765446494,10
sl_eat_bio_ssl_all,3,7,0.24265756080452575,10
sl_eat_bio_ssl_all,3,8,0.2367323731818928,10
sl_eat_bio_ssl_all,3,9,0.18911440068254215,10
sl_eat_bio_ssl_all,3,10,0.1884098188294067,10
sl_eat_bio_ssl_all,3,11,0.17535554684181331,10
sl_eat_bio_ssl_all,3,12,0.11245240380035429,10
sl_eat_bio_ssl_all,4,5,0.6826794475636023,10
sl_eat_bio_ssl_all,4,6,0.44420365101927695,10
sl_eat_bio_ssl_all,4,7,0.30751878030061397,10
sl_eat_bio_ssl_all,4,8,0.2805001696039091,10
sl_eat_bio_ssl_all,4,9,0.2083744714713655,10
sl_eat_bio_ssl_all,4,10,0.20715282735047613,10
sl_eat_bio_ssl_all,4,11,0.17584345403845805,10
sl_eat_bio_ssl_all,4,12,0.11249083696441228,10
sl_eat_bio_ssl_all,5,6,0.6028549805938186,10
sl_eat_bio_ssl_all,5,7,0.3936624399667562,10
sl_eat_bio_ssl_all,5,8,0.3107013497771819,10
sl_eat_bio_ssl_all,5,9,0.22522766979539166,10
sl_eat_bio_ssl_all,5,10,0.20543312436054792,10
sl_eat_bio_ssl_all,5,11,0.18432773955437,10
sl_eat_bio_ssl_all,5,12,0.11321192589739101,10
sl_eat_bio_ssl_all,6,7,0.5627045953494922,10
sl_eat_bio_ssl_all,6,8,0.3931661386010192,10
sl_eat_bio_ssl_all,6,9,0.26471485203145323,10
sl_eat_bio_ssl_all,6,10,0.22891405483997765,10
sl_eat_bio_ssl_all,6,11,0.1840605642836277,10
sl_eat_bio_ssl_all,6,12,0.09936102057136928,10
sl_eat_bio_ssl_all,7,8,0.5596134429409222,10
sl_eat_bio_ssl_all,7,9,0.33363139764162786,10
sl_eat_bio_ssl_all,7,10,0.25088328113801833,10
sl_eat_bio_ssl_all,7,11,0.18008997554605882,10
sl_eat_bio_ssl_all,7,12,0.10478146533087959,10
sl_eat_bio_ssl_all,8,9,0.5074209491765789,10
sl_eat_bio_ssl_all,8,10,0.33486665330705334,10
sl_eat_bio_ssl_all,8,11,0.2362936597474074,10
sl_eat_bio_ssl_all,8,12,0.12679154115911279,10
sl_eat_bio_ssl_all,9,10,0.565914080837369,10
sl_eat_bio_ssl_all,9,11,0.32868478858866196,10
sl_eat_bio_ssl_all,9,12,0.13488860330158065,10
sl_eat_bio_ssl_all,10,11,0.494466934071209,10
sl_eat_bio_ssl_all,10,12,0.16460679521435234,10
sl_eat_bio_ssl_all,11,12,0.26140457724104754,10
