model,layer_idx,k,n,mle_id
sl_eat_all_ssl_all,4,5,2500,13.581113422152153
sl_eat_all_ssl_all,4,10,2500,15.36605901186217
sl_eat_all_ssl_all,4,20,2500,15.714546959922137
sl_eat_all_ssl_all,4,40,2500,16.187654409026287
sl_eat_all_ssl_all,4,80,2500,16.619778488269603
sl_eat_all_ssl_all,4,5,5000,11.026335446647835
sl_eat_all_ssl_all,4,10,5000,13.877561982096278
sl_eat_all_ssl_all,4,20,5000,14.804400375509118
sl_eat_all_ssl_all,4,40,5000,15.682826941531193
sl_eat_all_ssl_all,4,80,5000,16.160633924174974
sl_eat_all_ssl_all,4,5,10000,7.078829067535558
sl_eat_all_ssl_all,4,10,10000,10.400273546124609
sl_eat_all_ssl_all,4,20,10000,13.179312214363069
sl_eat_all_ssl_all,4,40,10000,14.495345160853887
sl_eat_all_ssl_all,4,80,10000,15.454505882886078
sl_eat_all_ssl_all,4,5,20000,4.172701154933679
sl_eat_all_ssl_all,4,10,20000,7.065964747080679
sl_eat_all_ssl_all,4,20,20000,10.168706503967815
sl_eat_all_ssl_all,4,40,20000,12.906354477999429
sl_eat_all_ssl_all,4,80,20000,14.704631073020096
sl_eat_all_ssl_all,8,5,2500,9.719930311468943
sl_eat_all_ssl_all,8,10,2500,11.58249386606462
sl_eat_all_ssl_all,8,20,2500,12.34775016921504
sl_eat_all_ssl_all,8,40,2500,11.590824411779465
sl_eat_all_ssl_all,8,80,2500,9.293893679526793
sl_eat_all_ssl_all,8,5,5000,7.150521505524629
sl_eat_all_ssl_all,8,10,5000,9.695569456341266
sl_eat_all_ssl_all,8,20,5000,11.383169117726974
sl_eat_all_ssl_all,8,40,5000,12.307043736854153
sl_eat_all_ssl_all,8,80,5000,11.45362618180138
sl_eat_all_ssl_all,8,5,10000,5.570824390638814
sl_eat_all_ssl_all,8,10,10000,8.273513320272786
sl_eat_all_ssl_all,8,20,10000,10.481345332489523
sl_eat_all_ssl_all,8,40,10000,11.893311819741735
sl_eat_all_ssl_all,8,80,10000,12.614605681916881
sl_eat_all_ssl_all,8,5,20000,3.499033172358707
sl_eat_all_ssl_all,8,10,20000,5.823381956351131
sl_eat_all_ssl_all,8,20,20000,8.28099367671311
sl_eat_all_ssl_all,8,40,20000,10.386064716487121
sl_eat_all_ssl_all,8,80,20000,11.74689656722861
sl_eat_all_ssl_all,9,5,2500,8.872702912256232
sl_eat_all_ssl_all,9,10,2500,10.998814058175777
sl_eat_all_ssl_all,9,20,2500,12.099333719985975
sl_eat_all_ssl_all,9,40,2500,12.33424641787104
sl_eat_all_ssl_all,9,80,2500,9.968346714819221
sl_eat_all_ssl_all,9,5,5000,6.689887018019015
sl_eat_all_ssl_all,9,10,5000,9.049938433738925
sl_eat_all_ssl_all,9,20,5000,11.010189091609643
sl_eat_all_ssl_all,9,40,5000,12.251427726418557
sl_eat_all_ssl_all,9,80,5000,12.422210754477907
sl_eat_all_ssl_all,9,5,10000,4.484554965200541
sl_eat_all_ssl_all,9,10,10000,6.880709898951475
sl_eat_all_ssl_all,9,20,10000,9.197564752657575
sl_eat_all_ssl_all,9,40,10000,10.91923101601311
sl_eat_all_ssl_all,9,80,10000,12.112613391349628
sl_eat_all_ssl_all,9,5,20000,2.637834396619496
sl_eat_all_ssl_all,9,10,20000,4.441481977067096
sl_eat_all_ssl_all,9,20,20000,6.693608031534374
sl_eat_all_ssl_all,9,40,20000,8.9622943388043
sl_eat_all_ssl_all,9,80,20000,10.724931297057529
sl_eat_all_ssl_all,10,5,2500,8.214882789585385
sl_eat_all_ssl_all,10,10,2500,10.119868113539498
sl_eat_all_ssl_all,10,20,2500,11.278331629874579
sl_eat_all_ssl_all,10,40,2500,11.084922225092123
sl_eat_all_ssl_all,10,80,2500,8.684898251746489
