model,layer_idx,n_aves,n_mammalia,n_passer,n_other_aves,parent_axis_norm,passer_subord_axis_norm,abs_cos_parent_vs_passer_subord,other_aves_subord_axis_norm,abs_cos_parent_vs_other_aves_subord,abs_cos_passer_vs_other_aves
sl_eat_all_ssl_all,10,400,200,100,300,1.4178980906584429,0.20155111808131898,0.035586495291708244,0.06718386701158642,0.03558301638754199,0.9999999996618898
sl_eat_all_ssl_all,11,400,200,100,300,1.2650798986835239,0.11083982450199319,0.05756994096507461,0.03694678513836341,0.05755713716211353,0.999999993690547
sl_eat_all_ssl_all,12,400,200,100,300,4.430281881481926,0.4796773730864739,0.30655006695225107,0.15989271160377924,0.30655341541285186,0.9999999992917862
sl_eat_bio_ssl_all,0,400,200,100,300,0.13917400633711008,0.03152922997083711,0.5799205485222187,0.010509648667778896,0.5799208044707764,0.9999999432730878
sl_eat_bio_ssl_all,1,400,200,100,300,0.9641625199432495,0.11798799641922326,0.1232041720334864,0.0393290879695752,0.12322871033435256,0.999995684534868
sl_eat_bio_ssl_all,2,400,200,100,300,1.0322519452309473,0.166180975078109,0.07655384244371001,0.055394087925283886,0.07655129296685975,0.9999999854453827
sl_eat_bio_ssl_all,3,400,200,100,300,1.1693650547515553,0.22421095857869425,0.05819273800573626,0.0747373624977312,0.058192555165399874,0.9999999995483561
sl_eat_bio_ssl_all,4,400,200,100,300,1.598714474452206,0.3542775370768502,0.02840063978179883,0.11809245958549444,0.02840101926873892,0.999999999440068
sl_eat_bio_ssl_all,5,400,200,100,300,1.753257571079096,0.4103289121703633,0.029921504389598678,0.1367766768591929,0.029923964310900053,0.9999999994432087
sl_eat_bio_ssl_all,6,400,200,100,300,1.861060706941255,0.40683951007678665,0.0586450693948503,0.1356132757121323,0.0586450313410787,0.9999999996564979
sl_eat_bio_ssl_all,7,400,200,100,300,2.3288199876655717,0.5948894321480328,0.028869470859767946,0.1982961072167979,0.028872235271741042,0.9999999997770072
sl_eat_bio_ssl_all,8,400,200,100,300,2.244633088849866,0.6042662359163398,0.07440006675558122,0.2014203148305273,0.07439975753980808,0.9999999980995623
sl_eat_bio_ssl_all,9,400,200,100,300,2.141905788641609,0.5767775250347772,0.09608810064976618,0.19225980238840895,0.09609598858828629,0.9999999994072871
sl_eat_bio_ssl_all,10,400,200,100,300,1.7479200327081943,0.4217363417074331,0.019106218022691447,0.14057855423791962,0.019123016779808835,0.9999999988850199
sl_eat_bio_ssl_all,11,400,200,100,300,2.026703329093648,0.34702011811753974,0.008417825228858054,0.11567253448181877,0.008432713964761881,0.9999999985098506
sl_eat_bio_ssl_all,12,400,200,100,300,4.995765079200817,1.1245160721392975,0.06891499180929979,0.37483752014009847,0.06891811343900377,0.999999998259091
random_init_eat_seed42,0,400,200,100,300,5.749160821420716,2.2190910363906395,0.9853502619108284,0.7396968747926442,0.9853502094936689,0.9999999993642154
random_init_eat_seed42,1,400,200,100,300,8.421694958371075,2.2281618127641716,0.8892000840018083,0.7427192234928051,0.8891994382876348,0.9999999994326542
random_init_eat_seed42,2,400,200,100,300,10.2342535579024,2.422893835011533,0.8660895290703823,0.8076326250798168,0.8660897538864728,0.9999999993998694
random_init_eat_seed42,3,400,200,100,300,11.927771758510127,2.6066093841340283,0.861535304872563,0.8688687225332289,0.8615356454565714,0.9999999995222651
random_init_eat_seed42,4,400,200,100,300,13.486120417653506,2.6172286484090717,0.9034529833139223,0.872407811381102,0.90345396012934,0.9999999993826145
random_init_eat_seed42,5,400,200,100,300,14.71465272172102,2.8349249011258073,0.9019461975043082,0.9449757908248234,0.9019458099571659,0.9999999994742937
random_init_eat_seed42,6,400,200,100,300,15.560389907459232,2.970561684944397,0.9000971782439279,0.9901877877897242,0.9000972843217482,0.999999999458755
random_init_eat_seed42,7,400,200,100,300,16.46637331001545,2.997838603079176,0.9220177271576375,0.9992801022993769,0.9220178857407261,0.9999999994996372
random_init_eat_seed42,8,400,200,100,300,17.18743242013876,3.130470985986014,0.9161175669480546,1.0434901420791007,0.9161178955516124,0.9999999995492932
random_init_eat_seed42,9,400,200,100,300,17.96528751219693,3.2408572454550852,0.9224404850630586,1.0802868076586043,0.9224412528113483,0.9999999995422995
random_init_eat_seed42,10,400,200,100,300,18.535142124873847,3.147416362299863,0.9522185452954705,1.0491393934876874,0.9522184431022764,0.999999999515086
random_init_eat_seed42,11,400,200,100,300,19.117617900931233,3.3769979726818566,0.93974545041656,1.1256665762476181,0.9397453188017724,0.9999999995585005
random_init_eat_seed42,12,400,200,100,300,19.63074651537025,3.4611438025019847,0.9429059046012266,1.1537161160249303,0.9429062535866352,0.9999999996006016
